# parent type: a10.109
# parent ropelength: 89.88188
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 204, 0.999995, 0.115091, 1.669889, p8.7, 72.231021
0, 0, 0, 205, 1.000000, 0.017209, 1.654429, p8.7, 72.231021
0, 0, 0, 217, 0.999995, 0.015217, 1.479319, p8.7, 72.231021
0, 0, 1, 190, 0.999997, 0.118333, 1.681416, p8.7, 72.231021
0, 0, 1, 191, 0.999997, 0.117679, 1.681418, p8.7, 72.231021
0, 0, 1, 192, 0.999997, 0.116976, 1.681418, p8.7, 72.231021
0, 0, 1, 193, 0.999996, 0.116735, 1.681418, p8.7, 72.231021
0, 0, 1, 194, 0.999997, 0.098745, 1.680107, p8.7, 72.231021
0, 0, 1, 195, 0.999997, 0.097721, 1.677260, p8.7, 72.231021
0, 0, 1, 196, 0.999997, 0.116661, 1.675768, p8.7, 72.231021
0, 0, 1, 197, 0.999996, 0.112157, 1.675333, p8.7, 72.231021
0, 0, 1, 198, 0.999996, 0.067463, 1.670224, p8.7, 72.231021
0, 0, 1, 199, 0.999996, 0.098760, 1.663715, p8.7, 72.231021
0, 0, 1, 200, 0.999996, 0.116842, 1.661881, p8.7, 72.231021
0, 0, 1, 201, 0.999996, 0.100154, 1.659974, p8.7, 72.231021
0, 0, 1, 202, 0.999996, 0.092899, 1.655103, p8.7, 72.231021
0, 0, 1, 203, 1.000000, 0.027838, 1.642195, p8.7, 72.231021
0, 0, 1, 218, 0.999996, 0.085292, 1.464239, p8.7, 72.231021
0, 0, 1, 219, 0.999996, 0.100098, 1.436519, p8.7, 72.231021
0, 0, 1, 220, 0.999995, 0.085596, 1.405185, p8.7, 72.231021
0, 0, 1, 221, 0.999995, 0.104796, 1.371492, p8.7, 72.231021
0, 0, 1, 222, 0.999997, 0.081701, 1.334009, p8.7, 72.231021
0, 0, 1, 223, 0.999996, 0.119213, 1.294184, p8.7, 72.231021
0, 0, 1, 321, 0.999996, 1.558500, 1.529707, m13.3674n, nan
0, 0, 2, 224, 0.999998, 0.068404, 1.251161, p8.7, 72.231021
0, 0, 2, 225, 0.999994, 0.152926, 1.209473, p8.7, 72.231021
0, 0, 3, 181, 0.999996, 0.805911, 1.413995, p8.7, 72.231021
0, 0, 3, 226, 0.999997, 0.227563, 1.318590, p8.7, 72.231021
0, 0, 3, 227, 0.999996, 0.176200, 1.266261, p8.7, 72.231021
0, 0, 4, 181, 1.000000, 0.132135, 1.312091, p8.7, 72.231021
0, 0, 4, 182, 0.999996, 1.143451, 1.427560, p8.7, 72.231021
0, 0, 4, 183, 0.999996, 0.036997, 1.519507, p8.7, 72.231021
0, 0, 4, 184, 0.999996, 0.119250, 1.535551, p8.7, 72.231021
0, 0, 4, 185, 0.999996, 0.119653, 1.535565, p8.7, 72.231021
0, 0, 4, 186, 0.999996, 0.120767, 1.535579, p8.7, 72.231021
0, 0, 4, 228, 0.999997, 0.223315, 1.300497, p8.7, 72.231021
0, 0, 4, 229, 0.999998, 0.283999, 1.215098, p8.7, 72.231021
0, 0, 4, 230, 0.999998, 1.229553, 1.117422, p8.7, 72.231021
0, 0, 5, 187, 0.999997, 0.121061, 1.428697, p8.7, 72.231021
0, 0, 5, 188, 0.999996, 0.120974, 1.428710, p8.7, 72.231021
0, 0, 5, 189, 0.999997, 0.119314, 1.428724, p8.7, 72.231021
0, 0, 5, 230, 0.999993, 0.636050, 1.220568, p8.7, 72.231021
0, 0, 6, 194, 0.999999, 0.018686, 1.383824, p8.7, 72.231021
0, 0, 6, 195, 0.999996, 0.019814, 1.398223, p8.7, 72.231021
0, 0, 6, 231, 0.999999, 0.068270, 1.260254, p8.7, 72.231021
0, 0, 7, 197, 1.000000, 0.004984, 1.348874, p8.7, 72.231021
0, 0, 7, 198, 1.000000, 0.051645, 1.364627, p8.7, 72.231021
0, 0, 7, 199, 0.999997, 0.019478, 1.380059, p8.7, 72.231021
0, 0, 7, 231, 0.999995, 0.191493, 1.311714, p8.7, 72.231021
0, 0, 8, 201, 1.000000, 0.017998, 1.342308, p8.7, 72.231021
0, 0, 8, 202, 1.000000, 0.025363, 1.363238, p8.7, 72.231021
0, 0, 8, 203, 0.999998, 0.090251, 1.376979, p8.7, 72.231021
0, 0, 8, 204, 0.999985, 0.003792, 1.394491, p8.7, 72.231021
0, 0, 8, 231, 0.999999, 0.141561, 1.358080, p8.7, 72.231021
0, 0, 9, 205, 1.000000, 0.108655, 1.336981, p8.7, 72.231021
0, 0, 9, 206, 0.999998, 0.050148, 1.352323, p8.7, 72.231021
0, 0, 9, 207, 0.999997, 0.103908, 1.370130, p8.7, 72.231021
0, 0, 9, 208, 0.999996, 0.031969, 1.394055, p8.7, 72.231021
0, 0, 9, 231, 0.999999, 0.321396, 1.387172, p8.7, 72.231021
0, 0, 9, 582, 0.999984, 0.182152, 1.609936, m12.468n, nan
0, 0, 9, 583, 0.999996, 0.228892, 1.689221, m12.468n, nan
0, 0, 10, 209, 1.000000, 0.094017, 1.352452, p8.7, 72.231021
0, 0, 10, 210, 0.999995, 0.053916, 1.381324, p8.7, 72.231021
0, 0, 10, 231, 0.999991, 0.081078, 1.399521, p8.7, 72.231021
0, 0, 11, 211, 0.999995, 0.059678, 1.376665, p8.7, 72.231021
0, 0, 11, 212, 0.999994, 0.017311, 1.419102, p8.7, 72.231021
0, 0, 11, 231, 0.999993, 0.009595, 1.442807, p8.7, 72.231021
0, 0, 11, 232, 0.999997, 0.096812, 1.358693, p8.7, 72.231021
0, 0, 12, 212, 0.999995, 0.044454, 1.369309, p8.7, 72.231021
0, 0, 12, 213, 0.999996, 0.025453, 1.413669, p8.7, 72.231021
0, 0, 12, 232, 0.999996, 0.103125, 1.394613, p8.7, 72.231021
0, 0, 13, 213, 0.999995, 0.037647, 1.372672, p8.7, 72.231021
0, 0, 13, 214, 0.999995, 0.055664, 1.415605, p8.7, 72.231021
0, 0, 13, 233, 0.999996, 0.076050, 1.370777, p8.7, 72.231021
0, 0, 14, 214, 1.000000, 0.005284, 1.374831, p8.7, 72.231021
0, 0, 14, 215, 0.999995, 0.077251, 1.410838, p8.7, 72.231021
0, 0, 14, 233, 0.999995, 0.026974, 1.410144, p8.7, 72.231021
0, 0, 14, 234, 0.999994, 0.063894, 1.354655, p8.7, 72.231021
0, 0, 15, 216, 0.999994, 0.079415, 1.399444, p8.7, 72.231021
0, 0, 15, 234, 0.999994, 0.028416, 1.393763, p8.7, 72.231021
0, 0, 15, 235, 0.999996, 0.066831, 1.347193, p8.7, 72.231021
0, 0, 16, 217, 0.999994, 0.066925, 1.395967, p8.7, 72.231021
0, 0, 16, 218, 1.000000, 0.045914, 1.430290, p8.7, 72.231021
0, 0, 16, 235, 0.999995, 0.049177, 1.390484, p8.7, 72.231021
0, 0, 17, 218, 0.999995, 0.021607, 1.396655, p8.7, 72.231021
0, 0, 17, 219, 1.000000, 0.038400, 1.438342, p8.7, 72.231021
0, 0, 17, 236, 0.999994, 0.094594, 1.392112, p8.7, 72.231021
0, 0, 18, 219, 0.999995, 0.020408, 1.400175, p8.7, 72.231021
0, 0, 18, 220, 0.999995, 0.049742, 1.442382, p8.7, 72.231021
0, 0, 18, 237, 0.999995, 0.067632, 1.469072, p8.7, 72.231021
0, 0, 18, 238, 0.999999, 0.010145, 1.475594, p8.7, 72.231021
0, 0, 19, 220, 0.999995, 0.030511, 1.406507, p8.7, 72.231021
0, 0, 19, 221, 0.999993, 0.045328, 1.450616, p8.7, 72.231021
0, 0, 19, 238, 0.999996, 0.000010, 1.509478, p8.7, 72.231021
0, 0, 19, 239, 1.000000, 0.079611, 1.497288, p8.7, 72.231021
0, 0, 20, 221, 0.999995, 0.019407, 1.408825, p8.7, 72.231021
0, 0, 20, 222, 0.999993, 0.047763, 1.453013, p8.7, 72.231021
0, 0, 20, 240, 1.000000, 0.095925, 1.526613, p8.7, 72.231021
0, 0, 21, 222, 0.999996, 0.050162, 1.411042, p8.7, 72.231021
0, 0, 21, 223, 0.999994, 0.046722, 1.458598, p8.7, 72.231021
0, 0, 21, 242, 1.000000, 0.078093, 1.558376, p8.7, 72.231021
0, 0, 22, 223, 0.999995, 0.017807, 1.410083, p8.7, 72.231021
0, 0, 22, 224, 1.000000, 0.002263, 1.455512, p8.7, 72.231021
0, 0, 22, 241, 0.999993, 0.117780, 1.588140, p8.7, 72.231021
0, 0, 22, 242, 0.999999, 0.019612, 1.589607, p8.7, 72.231021
0, 0, 23, 224, 0.999994, 0.130657, 1.419053, p8.7, 72.231021
0, 0, 23, 240, 0.999995, 0.021070, 1.616539, p8.7, 72.231021
0, 0, 24, 225, 0.999995, 0.017565, 1.448202, p8.7, 72.231021
0, 0, 24, 238, 0.999997, 0.076961, 1.632049, p8.7, 72.231021
0, 0, 24, 239, 0.999990, 0.043719, 1.638454, p8.7, 72.231021
0, 0, 25, 225, 0.999992, 0.098922, 1.417518, p8.7, 72.231021
0, 0, 25, 238, 0.999994, 0.039431, 1.654413, p8.7, 72.231021
0, 0, 26, 225, 0.999996, 0.058707, 1.396378, p8.7, 72.231021
0, 0, 26, 237, 0.999995, 0.077118, 1.653215, p8.7, 72.231021
0, 0, 27, 225, 0.999999, 0.080651, 1.372316, p8.7, 72.231021
0, 0, 27, 237, 0.999995, 0.054622, 1.677668, p8.7, 72.231021
0, 0, 28, 225, 0.999996, 0.028399, 1.345025, p8.7, 72.231021
0, 0, 28, 237, 0.999995, 0.103657, 1.697151, p8.7, 72.231021
0, 0, 29, 226, 0.999994, 0.102079, 1.389764, p8.7, 72.231021
0, 0, 29, 237, 0.999995, 0.029695, 1.719322, p8.7, 72.231021
0, 0, 30, 226, 0.999996, 0.034595, 1.368476, p8.7, 72.231021
0, 0, 30, 237, 0.999997, 0.095451, 1.742461, p8.7, 72.231021
0, 0, 31, 226, 0.999996, 0.081999, 1.345027, p8.7, 72.231021
0, 0, 31, 236, 0.999994, 0.046977, 1.692101, p8.7, 72.231021
0, 0, 32, 226, 0.999997, 0.030294, 1.322291, p8.7, 72.231021
0, 0, 32, 236, 0.999993, 0.094566, 1.710170, p8.7, 72.231021
0, 0, 33, 226, 0.999999, 0.065738, 1.298428, p8.7, 72.231021
0, 0, 33, 236, 0.999992, 0.057651, 1.725151, p8.7, 72.231021
0, 0, 34, 236, 0.999993, 0.112251, 1.735305, p8.7, 72.231021
0, 0, 35, 227, 0.999997, 0.111569, 1.339435, p8.7, 72.231021
0, 0, 36, 227, 0.999996, 0.042346, 1.330805, p8.7, 72.231021
0, 0, 36, 235, 0.999995, 0.072044, 1.726038, p8.7, 72.231021
0, 0, 37, 227, 0.999999, 0.027347, 1.315063, p8.7, 72.231021
0, 0, 37, 228, 0.999995, 0.017885, 1.403080, p8.7, 72.231021
0, 0, 37, 234, 1.000000, 0.071283, 1.688115, p8.7, 72.231021
0, 0, 37, 235, 1.000000, 0.000007, 1.737549, p8.7, 72.231021
0, 0, 38, 228, 0.999992, 0.076928, 1.392047, p8.7, 72.231021
0, 0, 38, 234, 1.000000, 0.040447, 1.699319, p8.7, 72.231021
0, 0, 39, 228, 0.999996, 0.095159, 1.387267, p8.7, 72.231021
0, 0, 39, 233, 1.000000, 0.018061, 1.663634, p8.7, 72.231021
0, 0, 40, 233, 0.999995, 0.109480, 1.670321, p8.7, 72.231021
0, 0, 41, 229, 0.999996, 0.112791, 1.469499, p8.7, 72.231021
0, 0, 42, 229, 0.999990, 0.087141, 1.468309, p8.7, 72.231021
0, 0, 42, 232, 1.000000, 0.027372, 1.623664, p8.7, 72.231021
0, 0, 43, 230, 1.000000, 0.026190, 1.561486, p8.7, 72.231021
0, 0, 43, 232, 0.999993, 0.087994, 1.628190, p8.7, 72.231021
0, 0, 44, 230, 0.999996, 0.114326, 1.558749, p8.7, 72.231021
0, 0, 45, 230, 0.999996, 0.115213, 1.558747, p8.7, 72.231021
0, 0, 46, 230, 0.999994, 0.115882, 1.558748, p8.7, 72.231021
0, 0, 47, 230, 0.999996, 0.116289, 1.558753, p8.7, 72.231021
0, 0, 48, 230, 0.999993, 0.116697, 1.558762, p8.7, 72.231021
0, 0, 49, 230, 0.999994, 0.016625, 1.557330, p8.7, 72.231021
0, 0, 49, 231, 1.000000, 0.100552, 1.581510, p8.7, 72.231021
0, 0, 50, 230, 0.999996, 0.116628, 1.555898, p8.7, 72.231021
0, 0, 50, 231, 0.999998, 0.001021, 1.583384, p8.7, 72.231021
0, 0, 51, 230, 0.999996, 0.060532, 1.555125, p8.7, 72.231021
0, 0, 51, 231, 0.999996, 0.057716, 1.585835, p8.7, 72.231021
0, 0, 52, 230, 0.999997, 0.065048, 1.553670, p8.7, 72.231021
0, 0, 52, 231, 0.999995, 0.054052, 1.587516, p8.7, 72.231021
0, 0, 53, 230, 0.999997, 0.033330, 1.551912, p8.7, 72.231021
0, 0, 53, 231, 0.999995, 0.086797, 1.588801, p8.7, 72.231021
0, 0, 54, 230, 0.999997, 0.106114, 1.550684, p8.7, 72.231021
0, 0, 54, 231, 0.999994, 0.015245, 1.590509, p8.7, 72.231021
0, 0, 55, 230, 0.999998, 0.017991, 1.549353, p8.7, 72.231021
0, 0, 55, 231, 0.999995, 0.104784, 1.591999, p8.7, 72.231021
0, 0, 56, 230, 0.999997, 0.092823, 1.547882, p8.7, 72.231021
0, 0, 56, 231, 0.999994, 0.031618, 1.593224, p8.7, 72.231021
0, 0, 57, 230, 0.999997, 0.046097, 1.546796, p8.7, 72.231021
0, 0, 57, 231, 0.999994, 0.080208, 1.594696, p8.7, 72.231021
0, 0, 58, 230, 0.999997, 0.082494, 1.545639, p8.7, 72.231021
0, 0, 58, 231, 0.999994, 0.045848, 1.595942, p8.7, 72.231021
0, 0, 59, 230, 0.999997, 0.079078, 1.544849, p8.7, 72.231021
0, 0, 59, 231, 0.999994, 0.051281, 1.597386, p8.7, 72.231021
0, 0, 60, 230, 0.999998, 0.122920, 1.544410, p8.7, 72.231021
0, 0, 60, 231, 0.999997, 0.009520, 1.598992, p8.7, 72.231021
0, 0, 61, 230, 0.999998, 0.159762, 1.544397, p8.7, 72.231021
0, 0, 61, 231, 0.999999, 0.000734, 1.600820, p8.7, 72.231021
0, 0, 62, 230, 1.000000, 0.793525, 1.591130, p8.7, 72.231021
0, 0, 62, 372, 0.999997, 0.073562, 1.672652, p8.10, 72.957716
0, 0, 62, 373, 0.999994, 0.039195, 1.658859, p8.10, 72.957716
0, 0, 62, 374, 0.999998, 0.082684, 1.645809, p8.10, 72.957716
0, 0, 62, 375, 0.999998, 0.035262, 1.631765, p8.10, 72.957716
0, 0, 62, 376, 0.999996, 0.085074, 1.617743, p8.10, 72.957716
0, 0, 62, 377, 0.999999, 0.029119, 1.602572, p8.10, 72.957716
0, 0, 62, 378, 0.999999, 0.094720, 1.588425, p8.10, 72.957716
0, 0, 62, 379, 0.999998, 0.016613, 1.572451, p8.10, 72.957716
0, 0, 62, 380, 0.999996, 0.116405, 1.559156, p8.10, 72.957716
0, 0, 62, 381, 0.999994, 0.008940, 1.544272, p8.10, 72.957716
0, 0, 62, 382, 0.999996, 0.109985, 1.528225, p8.10, 72.957716
0, 0, 62, 383, 0.999997, 0.014129, 1.512644, p8.10, 72.957716
0, 0, 62, 384, 0.999997, 0.091737, 1.494689, p8.10, 72.957716
0, 0, 62, 385, 0.999995, 0.045862, 1.480668, p8.10, 72.957716
0, 0, 62, 386, 0.999998, 0.042033, 1.460336, p8.10, 72.957716
0, 0, 63, 369, 0.999985, 0.059329, 1.675805, p8.10, 72.957716
0, 0, 63, 370, 0.999995, 0.061494, 1.666272, p8.10, 72.957716
0, 0, 63, 387, 0.999995, 0.024824, 1.459309, p8.10, 72.957716
0, 0, 63, 388, 1.000000, 0.029840, 1.436512, p8.10, 72.957716
0, 0, 64, 365, 1.000000, 0.028786, 1.688155, p8.10, 72.957716
0, 0, 64, 366, 0.999994, 0.046027, 1.678261, p8.10, 72.957716
0, 0, 64, 389, 0.999995, 0.021717, 1.454911, p8.10, 72.957716
0, 0, 64, 390, 1.000000, 0.099299, 1.441685, p8.10, 72.957716
0, 0, 64, 391, 1.000000, 0.001943, 1.426753, p8.10, 72.957716
0, 0, 65, 360, 1.000000, 0.045827, 1.672600, p8.10, 72.957716
0, 0, 65, 361, 0.999994, 0.107797, 1.670283, p8.10, 72.957716
0, 0, 65, 362, 0.999996, 0.000370, 1.665300, p8.10, 72.957716
0, 0, 65, 392, 0.999988, 0.052048, 1.461345, p8.10, 72.957716
0, 0, 65, 393, 1.000000, 0.070735, 1.448104, p8.10, 72.957716
0, 0, 66, 346, 0.999987, 0.049818, 1.628265, p8.10, 72.957716
0, 0, 66, 349, 1.000000, 0.111833, 1.626554, p8.10, 72.957716
0, 0, 66, 350, 1.000000, 0.030451, 1.625850, p8.10, 72.957716
0, 0, 66, 351, 0.999999, 0.073799, 1.624753, p8.10, 72.957716
0, 0, 66, 354, 0.999995, 0.008996, 1.617401, p8.10, 72.957716
0, 0, 66, 355, 0.999997, 0.002815, 1.614199, p8.10, 72.957716
0, 0, 66, 394, 0.999995, 0.013928, 1.503016, p8.10, 72.957716
0, 0, 66, 395, 0.999995, 0.118980, 1.492835, p8.10, 72.957716
0, 0, 66, 396, 0.999993, 0.074737, 1.487255, p8.10, 72.957716
0, 0, 66, 397, 0.999995, 0.081011, 1.476710, p8.10, 72.957716
0, 0, 66, 398, 1.000000, 0.014925, 1.470956, p8.10, 72.957716
0, 0, 67, 345, 0.999998, 0.039922, 1.517230, p8.10, 72.957716
0, 0, 67, 346, 0.999982, 0.034052, 1.517283, p8.10, 72.957716
0, 0, 67, 347, 0.999995, 0.096487, 1.517320, p8.10, 72.957716
0, 0, 67, 348, 0.999991, 0.106509, 1.517271, p8.10, 72.957716
0, 0, 67, 349, 0.999990, 0.001422, 1.517907, p8.10, 72.957716
0, 0, 67, 350, 0.999990, 0.086399, 1.518742, p8.10, 72.957716
0, 0, 67, 351, 0.999990, 0.044409, 1.519583, p8.10, 72.957716
0, 0, 67, 352, 0.999996, 0.117977, 1.520193, p8.10, 72.957716
0, 0, 67, 353, 0.999996, 0.117308, 1.520142, p8.10, 72.957716
0, 0, 67, 354, 0.999982, 0.107705, 1.520197, p8.10, 72.957716
0, 0, 67, 355, 0.999973, 0.112805, 1.520308, p8.10, 72.957716
0, 0, 67, 356, 0.999996, 0.113784, 1.520307, p8.10, 72.957716
0, 0, 67, 357, 0.999993, 0.112535, 1.520251, p8.10, 72.957716
0, 0, 67, 358, 0.999991, 0.111678, 1.520194, p8.10, 72.957716
0, 0, 67, 359, 0.999996, 0.111075, 1.520138, p8.10, 72.957716
0, 0, 67, 360, 0.999993, 0.045205, 1.521458, p8.10, 72.957716
0, 0, 67, 398, 0.999993, 0.107879, 1.580345, p8.10, 72.957716
0, 0, 67, 399, 0.999994, 0.043941, 1.569834, p8.10, 72.957716
0, 0, 67, 400, 0.999995, 0.118501, 1.558357, p8.10, 72.957716
0, 0, 67, 401, 0.999993, 0.130814, 1.557012, p8.10, 72.957716
0, 0, 67, 402, 0.999996, 0.039616, 1.544302, p8.10, 72.957716
0, 0, 67, 403, 0.999995, 0.122127, 1.529960, p8.10, 72.957716
0, 0, 67, 404, 0.999997, 0.082778, 1.520659, p8.10, 72.957716
0, 0, 67, 405, 0.999997, 0.137750, 1.512032, p8.10, 72.957716
0, 0, 67, 406, 0.999986, 0.060565, 1.499037, p8.10, 72.957716
0, 0, 67, 407, 0.999997, 0.106691, 1.479573, p8.10, 72.957716
0, 0, 67, 408, 0.999986, 0.083197, 1.463167, p8.10, 72.957716
0, 0, 67, 409, 0.999998, 0.117732, 1.446203, p8.10, 72.957716
0, 0, 68, 360, 1.000000, 0.018492, 1.423765, p8.10, 72.957716
0, 0, 68, 362, 0.999995, 0.107305, 1.434951, p8.10, 72.957716
0, 0, 68, 363, 0.999997, 0.107191, 1.434896, p8.10, 72.957716
0, 0, 68, 364, 0.999995, 0.106678, 1.434840, p8.10, 72.957716
0, 0, 68, 365, 0.999994, 0.078758, 1.436747, p8.10, 72.957716
0, 0, 68, 366, 0.999998, 0.061577, 1.442069, p8.10, 72.957716
0, 0, 68, 367, 0.999992, 0.105950, 1.445291, p8.10, 72.957716
0, 0, 68, 368, 0.999998, 0.106351, 1.445237, p8.10, 72.957716
0, 0, 68, 369, 0.999994, 0.050130, 1.450898, p8.10, 72.957716
0, 0, 68, 370, 0.999998, 0.003842, 1.462612, p8.10, 72.957716
0, 0, 68, 391, 0.999995, 0.031468, 1.667544, p8.10, 72.957716
0, 0, 68, 410, 0.999997, 0.096911, 1.529220, p8.10, 72.957716
0, 0, 68, 411, 0.999994, 0.097908, 1.509897, p8.10, 72.957716
0, 0, 68, 412, 0.999996, 0.090897, 1.488822, p8.10, 72.957716
0, 0, 68, 413, 0.999994, 0.105733, 1.467182, p8.10, 72.957716
0, 0, 68, 414, 0.999995, 0.109550, 1.445843, p8.10, 72.957716
0, 0, 68, 415, 0.999997, 0.103389, 1.420753, p8.10, 72.957716
0, 0, 68, 417, 0.999997, 0.091125, 1.423416, p8.10, 72.957716
0, 0, 68, 418, 0.999996, 0.136664, 1.396851, p8.10, 72.957716
0, 0, 69, 370, 0.999999, 0.044558, 1.422092, p8.10, 72.957716
0, 0, 69, 371, 0.999998, 0.107243, 1.428051, p8.10, 72.957716
0, 0, 69, 372, 0.999999, 0.038971, 1.436760, p8.10, 72.957716
0, 0, 69, 373, 0.999998, 0.073930, 1.450426, p8.10, 72.957716
0, 0, 69, 374, 0.999997, 0.031105, 1.465532, p8.10, 72.957716
0, 0, 69, 375, 0.999996, 0.079570, 1.480278, p8.10, 72.957716
0, 0, 69, 376, 0.999996, 0.030097, 1.495638, p8.10, 72.957716
0, 0, 69, 377, 0.999997, 0.086920, 1.510316, p8.10, 72.957716
0, 0, 69, 378, 0.999998, 0.021440, 1.526377, p8.10, 72.957716
0, 0, 69, 379, 0.999997, 0.100387, 1.540926, p8.10, 72.957716
0, 0, 69, 419, 0.999997, 0.171842, 1.399646, p8.10, 72.957716
0, 0, 69, 420, 0.999985, 0.182217, 1.358282, p8.10, 72.957716
0, 0, 69, 421, 0.999997, 0.256572, 1.308971, p8.10, 72.957716
0, 0, 69, 422, 0.999995, 0.122992, 1.224674, p8.10, 72.957716
0, 0, 70, 381, 0.999996, 0.109145, 1.492202, p8.10, 72.957716
0, 0, 70, 382, 0.999993, 0.008477, 1.508539, p8.10, 72.957716
0, 0, 70, 383, 0.999996, 0.104319, 1.525412, p8.10, 72.957716
0, 0, 70, 384, 0.999985, 0.027659, 1.540051, p8.10, 72.957716
0, 0, 70, 385, 0.999995, 0.073440, 1.558472, p8.10, 72.957716
0, 0, 70, 386, 1.000000, 0.006468, 1.570170, p8.10, 72.957716
0, 0, 70, 422, 1.000004, 0.000708, 1.309110, p8.10, 72.957716
0, 0, 70, 423, 0.999997, 0.319262, 1.215266, p8.10, 72.957716
0, 0, 71, 386, 0.999994, 0.070294, 1.491834, p8.10, 72.957716
0, 0, 71, 387, 0.999997, 0.094643, 1.500463, p8.10, 72.957716
0, 0, 71, 388, 0.999997, 0.087628, 1.507811, p8.10, 72.957716
0, 0, 71, 389, 0.999998, 0.046518, 1.513257, p8.10, 72.957716
0, 0, 71, 424, 0.999996, 0.156812, 1.210520, p8.10, 72.957716
0, 0, 71, 425, 0.999993, 0.028230, 1.121451, p8.10, 72.957716
0, 0, 72, 389, 1.000000, 0.047349, 1.440144, p8.10, 72.957716
0, 0, 72, 390, 0.999993, 0.018754, 1.455073, p8.10, 72.957716
0, 0, 72, 391, 0.999995, 0.083843, 1.468639, p8.10, 72.957716
0, 0, 72, 425, 0.999995, 0.201029, 1.197572, p8.10, 72.957716
0, 0, 72, 426, 0.999997, 0.046670, 1.106074, p8.10, 72.957716
0, 0, 73, 392, 0.999999, 0.065841, 1.413342, p8.10, 72.957716
0, 0, 73, 393, 0.999995, 0.050235, 1.427520, p8.10, 72.957716
0, 0, 73, 394, 0.999996, 0.104894, 1.436684, p8.10, 72.957716
0, 0, 73, 426, 0.999986, 0.043471, 1.174132, p8.10, 72.957716
0, 0, 73, 427, 1.000000, 0.080945, 1.101942, p8.10, 72.957716
0, 0, 74, 396, 0.999981, 0.049696, 1.402976, p8.10, 72.957716
0, 0, 74, 397, 0.999996, 0.044934, 1.420262, p8.10, 72.957716
0, 0, 74, 427, 0.999986, 0.196373, 1.166835, p8.10, 72.957716
