# parent type: a4.1#a6.3
# parent ropelength: 89.304804
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 107, 0.999997, 0.122416, 1.471427, a4.1, 42.101754
0, 0, 1, 107, 1.000000, 0.004759, 1.466643, a4.1, 42.101754
0, 0, 1, 110, 0.999994, 0.117783, 1.642208, a4.1, 42.101754
0, 0, 2, 107, 1.000000, 0.035083, 1.461558, a4.1, 42.101754
0, 0, 2, 108, 0.999995, 0.087061, 1.527807, a4.1, 42.101754
0, 0, 3, 108, 0.999996, 0.122591, 1.527890, a4.1, 42.101754
0, 0, 4, 108, 0.999995, 0.124386, 1.527857, a4.1, 42.101754
0, 0, 5, 108, 0.999996, 0.125146, 1.527824, a4.1, 42.101754
0, 0, 6, 108, 0.999995, 0.123798, 1.527797, a4.1, 42.101754
0, 0, 7, 108, 0.999996, 0.123860, 1.527775, a4.1, 42.101754
0, 0, 8, 108, 0.999994, 0.049513, 1.526671, a4.1, 42.101754
0, 0, 8, 109, 0.999995, 0.075929, 1.613530, a4.1, 42.101754
0, 0, 9, 108, 0.999995, 0.115229, 1.525454, a4.1, 42.101754
0, 0, 9, 109, 0.999994, 0.009946, 1.615696, a4.1, 42.101754
0, 0, 10, 109, 1.000000, 0.125325, 1.617157, a4.1, 42.101754
0, 0, 11, 108, 0.999997, 0.124707, 1.522453, a4.1, 42.101754
0, 0, 11, 109, 0.999995, 0.000635, 1.618385, a4.1, 42.101754
0, 0, 12, 108, 1.000000, 0.001294, 1.521411, a4.1, 42.101754
0, 0, 12, 109, 0.999997, 0.123185, 1.619632, a4.1, 42.101754
0, 0, 13, 108, 0.999999, 0.130453, 1.520395, a4.1, 42.101754
0, 0, 13, 109, 0.999996, 0.000065, 1.620548, a4.1, 42.101754
0, 0, 14, 108, 0.999997, 0.134969, 1.532849, a4.1, 42.101754
0, 0, 14, 486, 0.999995, 0.086428, 1.589365, m3.1#a4.1, 65.255428
0, 0, 15, 485, 0.999997, 0.106403, 1.594989, m3.1#a4.1, 65.255428
0, 0, 15, 487, 0.999999, 0.014585, 1.529949, m3.1#a4.1, 65.255428
0, 0, 16, 484, 0.999993, 0.029339, 1.627387, m3.1#a4.1, 65.255428
0, 0, 16, 487, 0.999994, 0.078629, 1.533946, m3.1#a4.1, 65.255428
0, 0, 16, 488, 0.999994, 0.010383, 1.492682, m3.1#a4.1, 65.255428
0, 0, 17, 483, 0.999999, 0.099099, 1.652439, m3.1#a4.1, 65.255428
0, 0, 17, 488, 0.999993, 0.026119, 1.502528, m3.1#a4.1, 65.255428
0, 0, 18, 482, 0.999996, 0.024415, 1.664280, m3.1#a4.1, 65.255428
