# parent type: a4.1#m5.2
# parent ropelength: 80.363611
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 156, 1.000000, 0.020405, 1.738120, m5.2, 49.482257
0, 0, 0, 157, 1.000000, 0.084787, 1.720793, m5.2, 49.482257
0, 0, 0, 185, 0.999995, 0.092797, 1.513771, m5.2, 49.482257
0, 0, 0, 186, 0.999997, 0.050910, 1.534880, m5.2, 49.482257
0, 0, 1, 153, 1.000000, 0.049339, 1.720172, m5.2, 49.482257
0, 0, 1, 154, 1.000000, 0.070703, 1.706389, m5.2, 49.482257
0, 0, 1, 186, 0.999997, 0.079503, 1.588803, m5.2, 49.482257
0, 0, 1, 187, 0.999997, 0.105316, 1.589577, m5.2, 49.482257
0, 0, 2, 149, 1.000000, 0.044345, 1.704950, m5.2, 49.482257
0, 0, 2, 150, 1.000000, 0.072665, 1.692278, m5.2, 49.482257
0, 0, 2, 151, 1.000000, 0.040190, 1.679535, m5.2, 49.482257
0, 0, 2, 185, 0.999997, 0.219321, 1.623197, m5.2, 49.482257
0, 0, 3, 144, 1.000000, 0.089123, 1.688210, m5.2, 49.482257
0, 0, 3, 145, 1.000000, 0.026584, 1.676864, m5.2, 49.482257
0, 0, 3, 146, 1.000000, 0.067669, 1.663746, m5.2, 49.482257
0, 0, 3, 147, 1.000000, 0.061632, 1.653231, m5.2, 49.482257
0, 0, 3, 185, 0.999996, 0.185196, 1.700979, m5.2, 49.482257
0, 0, 4, 140, 0.999993, 0.051264, 1.671047, m5.2, 49.482257
0, 0, 4, 141, 1.000000, 0.120069, 1.666607, m5.2, 49.482257
0, 0, 4, 142, 1.000000, 0.008112, 1.659442, m5.2, 49.482257
0, 0, 4, 179, 1.000000, 0.196823, 1.858523, m5.2, 49.482257
0, 0, 5, 129, 1.000000, 0.069750, 1.682123, m5.2, 49.482257
0, 0, 5, 130, 1.000000, 0.038529, 1.663569, m5.2, 49.482257
0, 0, 5, 131, 1.000000, 0.101270, 1.648325, m5.2, 49.482257
0, 0, 5, 132, 1.000000, 0.017927, 1.630756, m5.2, 49.482257
0, 0, 5, 133, 1.000000, 0.128031, 1.616729, m5.2, 49.482257
0, 0, 5, 134, 1.000000, 0.077358, 1.611361, m5.2, 49.482257
0, 0, 5, 135, 1.000000, 0.087095, 1.601422, m5.2, 49.482257
0, 0, 5, 136, 1.000000, 0.125568, 1.597215, m5.2, 49.482257
0, 0, 5, 137, 1.000000, 0.070855, 1.592097, m5.2, 49.482257
0, 0, 5, 138, 1.000000, 0.039729, 1.585620, m5.2, 49.482257
0, 0, 5, 175, 1.000000, 0.077750, 1.684404, m5.2, 49.482257
0, 0, 5, 176, 0.999999, 0.080607, 1.729806, m5.2, 49.482257
0, 0, 5, 177, 1.000000, 0.543477, 1.809485, m5.2, 49.482257
0, 0, 6, 116, 1.000000, 0.056887, 1.690858, m5.2, 49.482257
0, 0, 6, 117, 1.000000, 0.123057, 1.687411, m5.2, 49.482257
0, 0, 6, 118, 1.000000, 0.123590, 1.687465, m5.2, 49.482257
0, 0, 6, 119, 1.000000, 0.055318, 1.682440, m5.2, 49.482257
0, 0, 6, 120, 1.000000, 0.123985, 1.677463, m5.2, 49.482257
0, 0, 6, 121, 1.000000, 0.063792, 1.671966, m5.2, 49.482257
0, 0, 6, 122, 0.999995, 0.124295, 1.666113, m5.2, 49.482257
0, 0, 6, 123, 1.000000, 0.082968, 1.661064, m5.2, 49.482257
0, 0, 6, 124, 1.000000, 0.049608, 1.646639, m5.2, 49.482257
0, 0, 6, 125, 1.000000, 0.077743, 1.630991, m5.2, 49.482257
0, 0, 6, 126, 1.000000, 0.058919, 1.615636, m5.2, 49.482257
0, 0, 6, 127, 0.999999, 0.075343, 1.600252, m5.2, 49.482257
0, 0, 6, 128, 0.999998, 0.055769, 1.584626, m5.2, 49.482257
0, 0, 6, 138, 1.000000, 0.081431, 1.495041, m5.2, 49.482257
0, 0, 6, 139, 0.999999, 0.075307, 1.492856, m5.2, 49.482257
0, 0, 6, 140, 1.000000, 0.044246, 1.489877, m5.2, 49.482257
0, 0, 6, 142, 1.000000, 0.048276, 1.496136, m5.2, 49.482257
0, 0, 6, 170, 1.000000, 0.053419, 1.705365, m5.2, 49.482257
0, 0, 6, 171, 1.000000, 0.141011, 1.724600, m5.2, 49.482257
0, 0, 6, 172, 1.000000, 0.089491, 1.752359, m5.2, 49.482257
0, 0, 6, 173, 1.000000, 0.281103, 1.774184, m5.2, 49.482257
0, 0, 6, 174, 0.999999, 0.606214, 1.785201, m5.2, 49.482257
0, 0, 6, 175, 1.000000, 0.038353, 1.796725, m5.2, 49.482257
0, 0, 7, 108, 1.000000, 0.603598, 1.696721, m5.2, 49.482257
0, 0, 7, 109, 1.000000, 0.131566, 1.652624, m5.2, 49.482257
0, 0, 7, 110, 0.999999, 0.121753, 1.652654, m5.2, 49.482257
0, 0, 7, 111, 0.999999, 0.122384, 1.652701, m5.2, 49.482257
0, 0, 7, 112, 1.000000, 0.124174, 1.652755, m5.2, 49.482257
0, 0, 7, 113, 1.000000, 0.124316, 1.652812, m5.2, 49.482257
0, 0, 7, 114, 1.000000, 0.124670, 1.652871, m5.2, 49.482257
0, 0, 7, 115, 1.000000, 0.122022, 1.652931, m5.2, 49.482257
0, 0, 7, 143, 0.999999, 0.119374, 1.502568, m5.2, 49.482257
0, 0, 7, 151, 1.000000, 0.087330, 1.549277, m5.2, 49.482257
0, 0, 7, 152, 1.000000, 0.125337, 1.552790, m5.2, 49.482257
0, 0, 7, 153, 1.000000, 0.079183, 1.557721, m5.2, 49.482257
0, 0, 7, 154, 1.000000, 0.058683, 1.569590, m5.2, 49.482257
0, 0, 7, 155, 1.000000, 0.126136, 1.576731, m5.2, 49.482257
0, 0, 7, 156, 0.999999, 0.108108, 1.579026, m5.2, 49.482257
0, 0, 7, 157, 1.000000, 0.045804, 1.590892, m5.2, 49.482257
0, 0, 7, 158, 1.000000, 0.126854, 1.600483, m5.2, 49.482257
0, 0, 7, 159, 1.000000, 0.092519, 1.605124, m5.2, 49.482257
0, 0, 7, 160, 1.000000, 0.083426, 1.616038, m5.2, 49.482257
0, 0, 7, 161, 1.000000, 0.119111, 1.623016, m5.2, 49.482257
0, 0, 7, 162, 1.000000, 0.071852, 1.633058, m5.2, 49.482257
0, 0, 7, 163, 1.000000, 0.097520, 1.645646, m5.2, 49.482257
0, 0, 7, 164, 1.000000, 0.114239, 1.653687, m5.2, 49.482257
0, 0, 7, 165, 0.999999, 0.061334, 1.667248, m5.2, 49.482257
0, 0, 7, 166, 1.000000, 0.121344, 1.680749, m5.2, 49.482257
0, 0, 7, 167, 1.000000, 0.088088, 1.691499, m5.2, 49.482257
0, 0, 7, 168, 1.000000, 0.082182, 1.709447, m5.2, 49.482257
0, 0, 7, 169, 1.000000, 0.116284, 1.723496, m5.2, 49.482257
0, 0, 8, 107, 0.999998, 0.928946, 1.700987, m5.2, 49.482257
0, 0, 8, 108, 1.000000, 0.036733, 1.596459, m5.2, 49.482257
0, 0, 8, 144, 1.000000, 0.040992, 1.593804, m5.2, 49.482257
0, 0, 8, 145, 1.000000, 0.097837, 1.603113, m5.2, 49.482257
0, 0, 8, 146, 1.000000, 0.061542, 1.610853, m5.2, 49.482257
0, 0, 8, 147, 1.000000, 0.065034, 1.621539, m5.2, 49.482257
0, 0, 8, 148, 0.999999, 0.125723, 1.626681, m5.2, 49.482257
0, 0, 8, 149, 1.000000, 0.082743, 1.630690, m5.2, 49.482257
0, 0, 8, 150, 1.000000, 0.054716, 1.641394, m5.2, 49.482257
0, 0, 9, 142, 1.000000, 0.066170, 1.675287, m5.2, 49.482257
0, 0, 10, 116, 1.000000, 0.067689, 1.479703, m5.2, 49.482257
0, 0, 10, 139, 1.000000, 0.047552, 1.668864, m5.2, 49.482257
0, 0, 10, 140, 1.000000, 0.034096, 1.680269, m5.2, 49.482257
0, 0, 11, 119, 1.000000, 0.070057, 1.481855, m5.2, 49.482257
0, 0, 11, 137, 1.000000, 0.055933, 1.674253, m5.2, 49.482257
0, 0, 12, 121, 1.000000, 0.063008, 1.481820, m5.2, 49.482257
0, 0, 12, 134, 1.000000, 0.051440, 1.647123, m5.2, 49.482257
0, 0, 12, 135, 1.000000, 0.040525, 1.664451, m5.2, 49.482257
0, 0, 13, 123, 1.000000, 0.045950, 1.498539, m5.2, 49.482257
0, 0, 13, 124, 1.000000, 0.081438, 1.513392, m5.2, 49.482257
0, 0, 13, 126, 1.000000, 0.010740, 1.542808, m5.2, 49.482257
0, 0, 13, 127, 1.000000, 0.057125, 1.558190, m5.2, 49.482257
0, 0, 13, 128, 1.000000, 0.076189, 1.573527, m5.2, 49.482257
0, 0, 13, 129, 1.000000, 0.062052, 1.588332, m5.2, 49.482257
0, 0, 13, 130, 1.000000, 0.093079, 1.601463, m5.2, 49.482257
0, 0, 13, 131, 0.999999, 0.032060, 1.618248, m5.2, 49.482257
0, 0, 13, 132, 1.000000, 0.113967, 1.632804, m5.2, 49.482257
0, 0, 13, 439, 1.000000, 0.238767, 0.875540, m11.18n, nan
0, 0, 14, 125, 0.999999, 0.054228, 1.601920, m5.2, 49.482257
0, 0, 14, 126, 1.000000, 0.062392, 1.618371, m5.2, 49.482257
0, 0, 14, 439, 0.999999, 0.424370, 0.952450, m11.18n, nan
0, 0, 15, 440, 1.000000, 0.121058, 0.993926, m11.18n, nan
0, 0, 16, 440, 0.999998, 0.104033, 0.993443, m11.18n, nan
0, 0, 17, 440, 0.999996, 0.086937, 0.993576, m11.18n, nan
0, 0, 27, 256, 0.999999, 0.053583, 1.597981, m5.2, 49.482257
0, 0, 28, 256, 0.999999, 0.109917, 1.597951, m5.2, 49.482257
0, 0, 29, 256, 1.000000, 0.127829, 1.597918, m5.2, 49.482257
0, 0, 30, 256, 1.000000, 0.127803, 1.597878, m5.2, 49.482257
0, 0, 31, 256, 1.000000, 0.124291, 1.597835, m5.2, 49.482257
0, 0, 32, 256, 1.000000, 0.124227, 1.597791, m5.2, 49.482257
0, 0, 33, 256, 1.000000, 0.124881, 1.597747, m5.2, 49.482257
0, 0, 34, 256, 0.999993, 0.124652, 1.597703, m5.2, 49.482257
0, 0, 35, 256, 1.000000, 0.124499, 1.597660, m5.2, 49.482257
0, 0, 36, 256, 1.000000, 0.124601, 1.597617, m5.2, 49.482257
0, 0, 37, 256, 1.000000, 0.124590, 1.597575, m5.2, 49.482257
0, 0, 38, 256, 1.000000, 0.124469, 1.597535, m5.2, 49.482257
0, 0, 39, 256, 1.000000, 0.124446, 1.597497, m5.2, 49.482257
0, 0, 40, 256, 1.000000, 0.124572, 1.597462, m5.2, 49.482257
0, 0, 41, 256, 1.000000, 0.124450, 1.597430, m5.2, 49.482257
0, 0, 42, 256, 1.000000, 0.123851, 1.597402, m5.2, 49.482257
0, 0, 43, 256, 1.000000, 0.089508, 1.596830, m5.2, 49.482257
0, 0, 43, 257, 1.000000, 0.033918, 1.518272, m5.2, 49.482257
0, 0, 44, 255, 1.000000, 0.050144, 1.616947, m5.2, 49.482257
0, 0, 44, 257, 1.000000, 0.072423, 1.521180, m5.2, 49.482257
0, 0, 45, 255, 1.000000, 0.123878, 1.614800, m5.2, 49.482257
0, 0, 46, 255, 1.000000, 0.124345, 1.614789, m5.2, 49.482257
0, 0, 47, 255, 1.000000, 0.124230, 1.614785, m5.2, 49.482257
0, 0, 48, 255, 0.999999, 0.120683, 1.614577, m5.2, 49.482257
0, 0, 48, 258, 1.000000, 0.003802, 1.484381, m5.2, 49.482257
0, 0, 49, 255, 1.000000, 0.041689, 1.610513, m5.2, 49.482257
0, 0, 49, 258, 1.000000, 0.083472, 1.491745, m5.2, 49.482257
0, 0, 50, 255, 1.000000, 0.124463, 1.606659, m5.2, 49.482257
0, 0, 51, 255, 1.000000, 0.124293, 1.606666, m5.2, 49.482257
0, 0, 52, 255, 0.999999, 0.124302, 1.606681, m5.2, 49.482257
0, 0, 53, 255, 0.999997, 0.078266, 1.603640, m5.2, 49.482257
0, 0, 53, 259, 1.000000, 0.047214, 1.490359, m5.2, 49.482257
0, 0, 54, 255, 1.000000, 0.124651, 1.600552, m5.2, 49.482257
0, 0, 55, 255, 1.000000, 0.124997, 1.600578, m5.2, 49.482257
0, 0, 56, 255, 1.000000, 0.058044, 1.595027, m5.2, 49.482257
0, 0, 56, 260, 0.999999, 0.067872, 1.498950, m5.2, 49.482257
0, 0, 57, 254, 0.999999, 0.073008, 1.678246, m5.2, 49.482257
0, 0, 57, 255, 1.000000, 0.004298, 1.585781, m5.2, 49.482257
0, 0, 57, 261, 1.000000, 0.047875, 1.484116, m5.2, 49.482257
0, 0, 58, 254, 1.000000, 0.125615, 1.672905, m5.2, 49.482257
0, 0, 59, 254, 1.000000, 0.042085, 1.661815, m5.2, 49.482257
0, 0, 59, 262, 1.000000, 0.088786, 1.507522, m5.2, 49.482257
0, 0, 60, 254, 1.000000, 0.062235, 1.642492, m5.2, 49.482257
0, 0, 60, 262, 0.999999, 0.070547, 1.520753, m5.2, 49.482257
0, 0, 61, 254, 1.000000, 0.094490, 1.628688, m5.2, 49.482257
0, 0, 61, 263, 1.000000, 0.037169, 1.492916, m5.2, 49.482257
0, 0, 62, 253, 1.000000, 0.021087, 1.705430, m5.2, 49.482257
0, 0, 62, 263, 1.000000, 0.111476, 1.508331, m5.2, 49.482257
0, 0, 63, 253, 1.000000, 0.099042, 1.684864, m5.2, 49.482257
0, 0, 63, 263, 1.000000, 0.036811, 1.525346, m5.2, 49.482257
0, 0, 64, 253, 1.000000, 0.034268, 1.665180, m5.2, 49.482257
0, 0, 64, 263, 1.000000, 0.101293, 1.544130, m5.2, 49.482257
0, 0, 65, 253, 0.999999, 0.092215, 1.644524, m5.2, 49.482257
0, 0, 65, 263, 1.000000, 0.043377, 1.562468, m5.2, 49.482257
0, 0, 66, 252, 1.000000, 0.009042, 1.718334, m5.2, 49.482257
0, 0, 66, 263, 0.999998, 0.124824, 1.576946, m5.2, 49.482257
0, 0, 67, 252, 1.000000, 0.080991, 1.690881, m5.2, 49.482257
0, 0, 67, 263, 1.000000, 0.056077, 1.591421, m5.2, 49.482257
0, 0, 68, 252, 0.999999, 0.076345, 1.673889, m5.2, 49.482257
0, 0, 68, 262, 1.000000, 0.025432, 1.646388, m5.2, 49.482257
0, 0, 68, 263, 1.000000, 0.024611, 1.616236, m5.2, 49.482257
0, 0, 69, 251, 1.000000, 0.047886, 1.743366, m5.2, 49.482257
0, 0, 69, 261, 1.000000, 0.085922, 1.642437, m5.2, 49.482257
0, 0, 70, 251, 1.000000, 0.095483, 1.727161, m5.2, 49.482257
0, 0, 70, 260, 1.000000, 0.030431, 1.640474, m5.2, 49.482257
0, 0, 71, 259, 1.000000, 0.082486, 1.630226, m5.2, 49.482257
0, 0, 71, 260, 1.000000, 0.039099, 1.654350, m5.2, 49.482257
0, 0, 72, 250, 1.000000, 0.112373, 1.765327, m5.2, 49.482257
0, 0, 72, 259, 1.000000, 0.016380, 1.644488, m5.2, 49.482257
0, 0, 73, 256, 1.000000, 0.012077, 1.502281, m5.2, 49.482257
0, 0, 73, 258, 0.999999, 0.113007, 1.626144, m5.2, 49.482257
0, 0, 74, 256, 1.000000, 0.124267, 1.498866, m5.2, 49.482257
0, 0, 75, 249, 1.000000, 0.053489, 1.766506, m5.2, 49.482257
0, 0, 75, 256, 1.000000, 0.074866, 1.504640, m5.2, 49.482257
0, 0, 76, 256, 1.000000, 0.107739, 1.510139, m5.2, 49.482257
0, 0, 76, 257, 1.000000, 0.017286, 1.604005, m5.2, 49.482257
0, 0, 77, 248, 1.000000, 0.048534, 1.781230, m5.2, 49.482257
0, 0, 77, 257, 1.000000, 0.081794, 1.611080, m5.2, 49.482257
0, 0, 78, 248, 1.000000, 0.010439, 1.755718, m5.2, 49.482257
0, 0, 78, 257, 1.000000, 0.116823, 1.618907, m5.2, 49.482257
0, 0, 79, 247, 1.000000, 0.038595, 1.782575, m5.2, 49.482257
0, 0, 79, 257, 1.000000, 0.091909, 1.625296, m5.2, 49.482257
0, 0, 80, 247, 1.000000, 0.021361, 1.754750, m5.2, 49.482257
