# parent type: a4.1#p5.1
# parent ropelength: 79.665897
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 426, 1.000000, 0.029676, 1.513808, p5.1, 47.215809
0, 0, 0, 428, 0.999968, 0.095112, 1.594037, p5.1, 47.215809
0, 0, 1, 428, 0.999993, 0.124083, 1.594992, p5.1, 47.215809
0, 0, 2, 428, 0.999996, 0.123490, 1.595017, p5.1, 47.215809
0, 0, 3, 427, 1.000000, 0.046593, 1.584913, p5.1, 47.215809
0, 0, 3, 428, 0.999994, 0.077000, 1.595597, p5.1, 47.215809
0, 0, 4, 427, 0.999990, 0.123797, 1.584005, p5.1, 47.215809
0, 0, 5, 427, 0.999989, 0.124846, 1.584037, p5.1, 47.215809
0, 0, 6, 427, 0.999991, 0.124320, 1.584064, p5.1, 47.215809
0, 0, 7, 427, 0.999993, 0.124600, 1.584091, p5.1, 47.215809
0, 0, 8, 427, 0.999990, 0.124523, 1.584116, p5.1, 47.215809
0, 0, 9, 427, 0.999996, 0.124515, 1.584141, p5.1, 47.215809
0, 0, 10, 427, 0.999997, 0.124488, 1.584164, p5.1, 47.215809
0, 0, 11, 427, 0.999965, 0.124998, 1.584187, p5.1, 47.215809
0, 0, 12, 427, 0.999997, 0.124732, 1.584207, p5.1, 47.215809
0, 0, 13, 427, 0.999997, 0.124917, 1.584226, p5.1, 47.215809
0, 0, 14, 427, 0.999995, 0.124837, 1.584243, p5.1, 47.215809
0, 0, 15, 427, 0.999994, 0.122750, 1.584257, p5.1, 47.215809
0, 0, 16, 427, 0.999992, 0.117313, 1.584268, p5.1, 47.215809
0, 0, 17, 427, 0.999991, 0.109435, 1.584277, p5.1, 47.215809
0, 0, 18, 427, 0.999990, 0.080049, 1.584284, p5.1, 47.215809
0, 0, 27, 209, 1.000000, 0.045425, 0.898427, p11.15n, nan
0, 0, 28, 209, 0.999994, 0.078536, 0.898055, p11.15n, nan
0, 0, 29, 209, 0.999996, 0.103804, 0.897875, p11.15n, nan
0, 0, 30, 210, 1.000000, 0.118162, 0.881541, p11.15n, nan
0, 0, 31, 210, 0.999998, 0.334336, 0.875275, p11.15n, nan
0, 0, 31, 559, 1.000000, 0.032813, 1.612976, p5.1, 47.215809
0, 0, 31, 560, 1.000000, 0.059123, 1.593424, p5.1, 47.215809
0, 0, 32, 210, 0.999999, 0.166417, 0.802372, p11.15n, nan
0, 0, 32, 554, 0.999999, 0.102798, 1.622764, p5.1, 47.215809
0, 0, 32, 555, 0.999998, 0.031847, 1.605141, p5.1, 47.215809
0, 0, 32, 556, 0.999995, 0.108919, 1.588328, p5.1, 47.215809
0, 0, 32, 557, 0.999994, 0.030234, 1.571509, p5.1, 47.215809
0, 0, 32, 558, 0.999998, 0.120405, 1.556542, p5.1, 47.215809
0, 0, 32, 560, 0.999999, 0.022546, 1.524698, p5.1, 47.215809
0, 0, 33, 552, 0.999998, 0.075152, 1.646154, p5.1, 47.215809
0, 0, 33, 553, 1.000000, 0.000272, 1.624255, p5.1, 47.215809
0, 0, 33, 561, 1.000000, 0.039558, 1.517580, p5.1, 47.215809
0, 0, 33, 562, 1.000000, 0.014590, 1.496324, p5.1, 47.215809
0, 0, 34, 550, 0.999999, 0.035806, 1.664796, p5.1, 47.215809
0, 0, 34, 551, 1.000000, 0.020396, 1.643880, p5.1, 47.215809
0, 0, 34, 563, 1.000000, 0.078184, 1.501290, p5.1, 47.215809
0, 0, 35, 548, 1.000000, 0.051268, 1.672127, p5.1, 47.215809
0, 0, 35, 549, 1.000000, 0.013084, 1.655139, p5.1, 47.215809
0, 0, 35, 565, 1.000000, 0.074817, 1.497200, p5.1, 47.215809
0, 0, 36, 545, 0.999999, 0.033689, 1.682871, p5.1, 47.215809
0, 0, 36, 546, 0.999999, 0.030182, 1.668674, p5.1, 47.215809
0, 0, 36, 568, 1.000000, 0.092255, 1.492827, p5.1, 47.215809
0, 0, 37, 542, 0.999999, 0.026511, 1.688305, p5.1, 47.215809
0, 0, 37, 543, 1.000000, 0.031950, 1.674940, p5.1, 47.215809
0, 0, 38, 535, 1.000000, 0.004125, 1.648652, p5.1, 47.215809
0, 0, 38, 536, 1.000000, 0.120622, 1.640379, p5.1, 47.215809
0, 0, 38, 537, 1.000000, 0.077930, 1.636760, p5.1, 47.215809
0, 0, 38, 538, 0.999997, 0.120062, 1.633435, p5.1, 47.215809
0, 0, 38, 576, 1.000000, 0.815390, 1.690613, p5.1, 47.215809
0, 0, 39, 518, 0.999999, 0.100174, 1.668715, p5.1, 47.215809
0, 0, 39, 519, 0.999999, 0.057420, 1.654872, p5.1, 47.215809
0, 0, 39, 520, 0.999999, 0.103574, 1.640929, p5.1, 47.215809
0, 0, 39, 521, 0.999999, 0.084364, 1.631703, p5.1, 47.215809
0, 0, 39, 522, 1.000000, 0.127741, 1.625881, p5.1, 47.215809
0, 0, 39, 523, 1.000000, 0.056703, 1.617599, p5.1, 47.215809
0, 0, 39, 524, 1.000000, 0.065035, 1.602266, p5.1, 47.215809
0, 0, 39, 525, 1.000000, 0.110517, 1.592979, p5.1, 47.215809
0, 0, 39, 526, 0.999998, 0.126304, 1.591127, p5.1, 47.215809
0, 0, 39, 527, 1.000000, 0.077852, 1.586526, p5.1, 47.215809
0, 0, 39, 528, 1.000000, 0.125551, 1.581704, p5.1, 47.215809
0, 0, 39, 529, 1.000000, 0.124407, 1.581666, p5.1, 47.215809
0, 0, 39, 530, 1.000000, 0.067376, 1.576706, p5.1, 47.215809
0, 0, 39, 531, 1.000000, 0.090833, 1.568892, p5.1, 47.215809
0, 0, 39, 532, 1.000000, 0.125183, 1.565965, p5.1, 47.215809
0, 0, 39, 533, 1.000000, 0.124639, 1.565936, p5.1, 47.215809
0, 0, 39, 534, 1.000000, 0.125462, 1.565909, p5.1, 47.215809
0, 0, 39, 535, 0.999999, 0.013014, 1.558871, p5.1, 47.215809
0, 0, 39, 570, 1.000000, 0.124391, 1.641754, p5.1, 47.215809
0, 0, 39, 571, 1.000000, 0.123990, 1.641751, p5.1, 47.215809
0, 0, 39, 572, 1.000000, 0.128467, 1.641749, p5.1, 47.215809
0, 0, 39, 573, 0.999999, 0.129032, 1.641744, p5.1, 47.215809
0, 0, 39, 574, 0.999999, 0.119187, 1.641746, p5.1, 47.215809
0, 0, 39, 575, 1.000000, 0.675438, 1.677817, p5.1, 47.215809
0, 0, 39, 576, 1.000000, 0.113806, 1.779823, p5.1, 47.215809
0, 0, 40, 507, 0.999999, 0.079117, 1.799369, p5.1, 47.215809
0, 0, 40, 508, 0.999999, 0.113809, 1.768751, p5.1, 47.215809
0, 0, 40, 509, 0.999999, 0.071180, 1.743638, p5.1, 47.215809
0, 0, 40, 510, 0.999999, 0.113115, 1.719419, p5.1, 47.215809
0, 0, 40, 511, 0.999999, 0.074488, 1.699932, p5.1, 47.215809
0, 0, 40, 512, 0.999995, 0.115753, 1.681595, p5.1, 47.215809
0, 0, 40, 513, 0.999998, 0.059523, 1.663946, p5.1, 47.215809
0, 0, 40, 514, 1.000000, 0.111620, 1.645298, p5.1, 47.215809
0, 0, 40, 515, 0.999999, 0.116402, 1.637030, p5.1, 47.215809
0, 0, 40, 516, 0.999999, 0.052357, 1.620938, p5.1, 47.215809
0, 0, 40, 517, 0.999999, 0.115684, 1.605854, p5.1, 47.215809
0, 0, 40, 538, 0.999994, 0.003711, 1.526665, p5.1, 47.215809
0, 0, 40, 539, 1.000000, 0.123615, 1.529855, p5.1, 47.215809
0, 0, 40, 540, 0.999998, 0.125624, 1.529845, p5.1, 47.215809
0, 0, 40, 541, 1.000000, 0.070320, 1.528245, p5.1, 47.215809
0, 0, 40, 558, 0.999997, 0.011634, 1.621923, p5.1, 47.215809
0, 0, 40, 559, 1.000000, 0.099092, 1.641294, p5.1, 47.215809
0, 0, 40, 560, 1.000000, 0.050992, 1.656229, p5.1, 47.215809
0, 0, 40, 561, 1.000000, 0.088461, 1.670645, p5.1, 47.215809
0, 0, 40, 562, 1.000000, 0.112610, 1.676792, p5.1, 47.215809
0, 0, 40, 563, 1.000000, 0.047058, 1.685180, p5.1, 47.215809
0, 0, 40, 564, 0.999999, 0.124793, 1.692238, p5.1, 47.215809
