# parent type: m3.1#a4.1
# parent ropelength: 65.255428
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 379, 0.999999, 0.082324, 1.605813, a4.1, 42.101754
0, 0, 0, 384, 1.000000, 0.038962, 1.415284, a4.1, 42.101754
0, 0, 1, 379, 0.999999, 0.063691, 1.597894, a4.1, 42.101754
0, 0, 1, 384, 0.999999, 0.058225, 1.427179, a4.1, 42.101754
0, 0, 2, 379, 1.000000, 0.120306, 1.593031, a4.1, 42.101754
0, 0, 3, 379, 0.999999, 0.120424, 1.593003, a4.1, 42.101754
0, 0, 4, 379, 1.000000, 0.088172, 1.589579, a4.1, 42.101754
0, 0, 4, 385, 0.999997, 0.034891, 1.408796, a4.1, 42.101754
0, 0, 5, 379, 0.999998, 0.076116, 1.581279, a4.1, 42.101754
0, 0, 5, 385, 0.999974, 0.047921, 1.425081, a4.1, 42.101754
0, 0, 6, 379, 1.000000, 0.121839, 1.576438, a4.1, 42.101754
0, 0, 7, 379, 0.999997, 0.105174, 1.574260, a4.1, 42.101754
0, 0, 7, 386, 0.999997, 0.019113, 1.404138, a4.1, 42.101754
0, 0, 8, 379, 1.000000, 0.075549, 1.566012, a4.1, 42.101754
0, 0, 8, 386, 1.000000, 0.050295, 1.424825, a4.1, 42.101754
0, 0, 9, 379, 0.999998, 0.122485, 1.560305, a4.1, 42.101754
0, 0, 10, 379, 1.000000, 0.068469, 1.552439, a4.1, 42.101754
0, 0, 10, 387, 1.000000, 0.060188, 1.415210, a4.1, 42.101754
0, 0, 11, 379, 0.999997, 0.125010, 1.544626, a4.1, 42.101754
0, 0, 12, 379, 1.000000, 0.072581, 1.536079, a4.1, 42.101754
0, 0, 12, 388, 1.000000, 0.058523, 1.418199, a4.1, 42.101754
0, 0, 13, 379, 1.000000, 0.105226, 1.524374, a4.1, 42.101754
0, 0, 13, 389, 1.000000, 0.025251, 1.398462, a4.1, 42.101754
0, 0, 14, 379, 0.999999, 0.109693, 1.516448, a4.1, 42.101754
0, 0, 14, 389, 0.999994, 0.021045, 1.431175, a4.1, 42.101754
0, 0, 15, 379, 0.999999, 0.078984, 1.504057, a4.1, 42.101754
0, 0, 15, 390, 1.000000, 0.054917, 1.419250, a4.1, 42.101754
