# parent type: m3.1#m3.1#a4.1
# parent ropelength: 87.629973
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 559, 1.000000, 0.125450, 1.501701, m3.1#a4.1, 65.255428
0, 0, 1, 559, 1.000000, 0.088835, 1.497697, m3.1#a4.1, 65.255428
0, 0, 1, 566, 0.999999, 0.038074, 1.412668, m3.1#a4.1, 65.255428
0, 0, 2, 559, 0.999999, 0.034475, 1.484176, m3.1#a4.1, 65.255428
0, 0, 2, 566, 1.000000, 0.093495, 1.425472, m3.1#a4.1, 65.255428
0, 0, 3, 560, 0.999999, 0.046232, 1.554246, m3.1#a4.1, 65.255428
0, 0, 3, 561, 1.000000, 0.076475, 1.618096, m3.1#a4.1, 65.255428
0, 0, 4, 560, 1.000000, 0.125162, 1.552913, m3.1#a4.1, 65.255428
0, 0, 5, 560, 1.000000, 0.051891, 1.544861, m3.1#a4.1, 65.255428
0, 0, 5, 567, 1.000000, 0.076465, 1.407021, m3.1#a4.1, 65.255428
0, 0, 6, 560, 1.000000, 0.126433, 1.536661, m3.1#a4.1, 65.255428
0, 0, 7, 560, 0.999999, 0.116184, 1.535493, m3.1#a4.1, 65.255428
0, 0, 7, 568, 0.999999, 0.009960, 1.387339, m3.1#a4.1, 65.255428
0, 0, 8, 560, 1.000000, 0.066315, 1.526533, m3.1#a4.1, 65.255428
0, 0, 8, 568, 1.000000, 0.063780, 1.408806, m3.1#a4.1, 65.255428
0, 0, 9, 560, 0.999999, 0.124986, 1.519075, m3.1#a4.1, 65.255428
0, 0, 10, 560, 0.999999, 0.070749, 1.511284, m3.1#a4.1, 65.255428
0, 0, 10, 569, 1.000000, 0.060009, 1.399383, m3.1#a4.1, 65.255428
0, 0, 11, 560, 1.000000, 0.022472, 1.502620, m3.1#a4.1, 65.255428
0, 0, 11, 561, 0.999998, 0.102680, 1.590645, m3.1#a4.1, 65.255428
0, 0, 12, 561, 1.000000, 0.069751, 1.582242, m3.1#a4.1, 65.255428
0, 0, 12, 570, 0.999998, 0.062701, 1.398482, m3.1#a4.1, 65.255428
0, 0, 13, 561, 0.999997, 0.126802, 1.573537, m3.1#a4.1, 65.255428
0, 0, 14, 561, 0.999997, 0.084713, 1.565927, m3.1#a4.1, 65.255428
0, 0, 14, 571, 1.000000, 0.047757, 1.408091, m3.1#a4.1, 65.255428
0, 0, 15, 561, 0.999998, 0.085414, 1.551966, m3.1#a4.1, 65.255428
0, 0, 15, 572, 1.000000, 0.048317, 1.388167, m3.1#a4.1, 65.255428
0, 0, 16, 561, 0.999997, 0.125877, 1.542649, m3.1#a4.1, 65.255428
0, 0, 16, 573, 1.000000, 0.005585, 1.380049, m3.1#a4.1, 65.255428
0, 0, 17, 561, 1.000000, 0.083321, 1.531115, m3.1#a4.1, 65.255428
0, 0, 17, 573, 1.000000, 0.054051, 1.415725, m3.1#a4.1, 65.255428
0, 0, 18, 561, 0.999999, 0.103858, 1.516552, m3.1#a4.1, 65.255428
0, 0, 18, 574, 1.000000, 0.031480, 1.408790, m3.1#a4.1, 65.255428
0, 0, 19, 561, 1.000000, 0.086391, 1.500283, m3.1#a4.1, 65.255428
0, 0, 19, 575, 1.000000, 0.054277, 1.404641, m3.1#a4.1, 65.255428
0, 0, 20, 561, 0.999998, 0.110385, 1.483876, m3.1#a4.1, 65.255428
0, 0, 20, 576, 1.000000, 0.029703, 1.406474, m3.1#a4.1, 65.255428
0, 0, 21, 561, 0.999999, 0.088504, 1.465070, m3.1#a4.1, 65.255428
0, 0, 21, 577, 0.999999, 0.057181, 1.412392, m3.1#a4.1, 65.255428
0, 0, 22, 561, 0.999997, 0.101630, 1.444670, m3.1#a4.1, 65.255428
0, 0, 22, 578, 1.000000, 0.010589, 1.418909, m3.1#a4.1, 65.255428
0, 0, 22, 579, 1.000000, 0.035025, 1.383163, m3.1#a4.1, 65.255428
0, 0, 23, 561, 0.999996, 0.098466, 1.421877, m3.1#a4.1, 65.255428
0, 0, 23, 580, 0.999999, 0.053779, 1.399650, m3.1#a4.1, 65.255428
0, 0, 24, 561, 0.999992, 0.102692, 1.397546, m3.1#a4.1, 65.255428
0, 0, 24, 582, 1.000000, 0.056554, 1.387750, m3.1#a4.1, 65.255428
0, 0, 25, 561, 0.999995, 0.110873, 1.370318, m3.1#a4.1, 65.255428
0, 0, 25, 583, 1.000000, 0.008359, 1.412768, m3.1#a4.1, 65.255428
0, 0, 25, 584, 0.999998, 0.046410, 1.386996, m3.1#a4.1, 65.255428
0, 0, 26, 561, 0.999999, 0.118314, 1.340283, m3.1#a4.1, 65.255428
0, 0, 26, 586, 0.999999, 0.063469, 1.394878, m3.1#a4.1, 65.255428
0, 0, 27, 562, 0.999999, 0.137645, 1.333926, m3.1#a4.1, 65.255428
0, 0, 27, 588, 0.999999, 0.016797, 1.412126, m3.1#a4.1, 65.255428
0, 0, 27, 589, 1.000000, 0.054751, 1.393286, m3.1#a4.1, 65.255428
0, 0, 28, 562, 0.999997, 0.163247, 1.291951, m3.1#a4.1, 65.255428
0, 0, 28, 592, 1.000000, 0.042946, 1.404312, m3.1#a4.1, 65.255428
0, 0, 28, 593, 1.000000, 0.061349, 1.391148, m3.1#a4.1, 65.255428
0, 0, 29, 562, 1.000000, 0.238289, 1.236057, m3.1#a4.1, 65.255428
0, 0, 29, 596, 1.000000, 0.081803, 1.423675, m3.1#a4.1, 65.255428
0, 0, 29, 597, 1.000000, 0.049896, 1.413304, m3.1#a4.1, 65.255428
0, 0, 30, 562, 1.000000, 0.047438, 1.147582, m3.1#a4.1, 65.255428
0, 0, 30, 598, 1.000000, 0.034966, 1.485778, m3.1#a4.1, 65.255428
0, 0, 30, 599, 0.999999, 0.125051, 1.476473, m3.1#a4.1, 65.255428
0, 0, 30, 600, 0.999999, 0.062789, 1.468354, m3.1#a4.1, 65.255428
0, 0, 31, 563, 1.000000, 0.941380, 1.144163, m3.1#a4.1, 65.255428
0, 0, 31, 601, 0.999999, 0.075377, 1.555421, m3.1#a4.1, 65.255428
0, 0, 31, 602, 0.999997, 0.095648, 1.544341, m3.1#a4.1, 65.255428
0, 0, 31, 603, 0.999999, 0.067712, 1.529934, m3.1#a4.1, 65.255428
0, 0, 31, 604, 1.000000, 0.095022, 1.514266, m3.1#a4.1, 65.255428
0, 0, 31, 605, 0.999999, 0.037143, 1.491877, m3.1#a4.1, 65.255428
0, 0, 31, 606, 1.000000, 0.096086, 1.469279, m3.1#a4.1, 65.255428
0, 0, 32, 564, 1.000000, 0.137571, 1.131021, m3.1#a4.1, 65.255428
0, 0, 32, 565, 0.999999, 0.241435, 1.217531, m3.1#a4.1, 65.255428
0, 0, 32, 566, 1.000000, 0.161216, 1.281373, m3.1#a4.1, 65.255428
0, 0, 32, 607, 0.999997, 0.043785, 1.552341, m3.1#a4.1, 65.255428
0, 0, 32, 608, 0.999999, 0.095727, 1.535987, m3.1#a4.1, 65.255428
0, 0, 32, 609, 1.000000, 0.070242, 1.525229, m3.1#a4.1, 65.255428
0, 0, 32, 610, 1.000000, 0.112625, 1.516830, m3.1#a4.1, 65.255428
0, 0, 32, 611, 1.000000, 0.070354, 1.509992, m3.1#a4.1, 65.255428
0, 0, 32, 612, 1.000000, 0.124811, 1.504588, m3.1#a4.1, 65.255428
0, 0, 32, 613, 1.000000, 0.075048, 1.500643, m3.1#a4.1, 65.255428
0, 0, 32, 614, 0.999998, 0.124242, 1.496682, m3.1#a4.1, 65.255428
0, 0, 32, 615, 0.999997, 0.123452, 1.496647, m3.1#a4.1, 65.255428
