# parent type: m3.1#m3.1#m3.1
# parent ropelength: 79.348336
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 152, 0.999999, 0.125540, 1.531649, m3.1#m3.1, 57.056354
0, 0, 1, 145, 1.000000, 0.070475, 1.435423, m3.1#m3.1, 57.056354
0, 0, 1, 152, 1.000000, 0.058441, 1.538936, m3.1#m3.1, 57.056354
0, 0, 2, 152, 1.000000, 0.125581, 1.546346, m3.1#m3.1, 57.056354
0, 0, 3, 146, 1.000000, 0.001015, 1.450806, m3.1#m3.1, 57.056354
0, 0, 3, 152, 0.999999, 0.124162, 1.546381, m3.1#m3.1, 57.056354
0, 0, 4, 146, 1.000000, 0.070372, 1.434065, m3.1#m3.1, 57.056354
0, 0, 4, 152, 1.000000, 0.057335, 1.552961, m3.1#m3.1, 57.056354
0, 0, 5, 152, 1.000000, 0.126503, 1.559315, m3.1#m3.1, 57.056354
0, 0, 6, 152, 1.000000, 0.120406, 1.559299, m3.1#m3.1, 57.056354
0, 0, 7, 147, 0.999999, 0.072082, 1.448452, m3.1#m3.1, 57.056354
0, 0, 7, 153, 1.000000, 0.057511, 1.523063, m3.1#m3.1, 57.056354
0, 0, 8, 147, 1.000000, 0.037170, 1.435906, m3.1#m3.1, 57.056354
0, 0, 8, 153, 0.999984, 0.087838, 1.532442, m3.1#m3.1, 57.056354
0, 0, 9, 153, 1.000000, 0.125007, 1.535696, m3.1#m3.1, 57.056354
0, 0, 10, 153, 0.999998, 0.124966, 1.535698, m3.1#m3.1, 57.056354
0, 0, 11, 148, 1.000000, 0.087648, 1.466631, m3.1#m3.1, 57.056354
0, 0, 11, 153, 0.999996, 0.038765, 1.542067, m3.1#m3.1, 57.056354
0, 0, 12, 148, 0.999999, 0.011960, 1.455527, m3.1#m3.1, 57.056354
0, 0, 12, 153, 0.999999, 0.113961, 1.549339, m3.1#m3.1, 57.056354
0, 0, 13, 148, 1.000000, 0.055823, 1.442400, m3.1#m3.1, 57.056354
0, 0, 13, 153, 1.000000, 0.070443, 1.554205, m3.1#m3.1, 57.056354
0, 0, 14, 153, 0.999999, 0.124642, 1.558137, m3.1#m3.1, 57.056354
0, 0, 15, 153, 0.999999, 0.124898, 1.558149, m3.1#m3.1, 57.056354
0, 0, 16, 149, 0.999999, 0.070695, 1.503303, m3.1#m3.1, 57.056354
0, 0, 16, 153, 1.000000, 0.055106, 1.562459, m3.1#m3.1, 57.056354
0, 0, 17, 149, 1.000000, 0.034315, 1.494332, m3.1#m3.1, 57.056354
0, 0, 17, 153, 1.000000, 0.092025, 1.568734, m3.1#m3.1, 57.056354
0, 0, 18, 149, 1.000000, 0.062293, 1.485249, m3.1#m3.1, 57.056354
0, 0, 18, 153, 0.999999, 0.062345, 1.574542, m3.1#m3.1, 57.056354
0, 0, 19, 149, 1.000000, 0.033129, 1.476899, m3.1#m3.1, 57.056354
0, 0, 19, 150, 1.000000, 0.026573, 1.573765, m3.1#m3.1, 57.056354
0, 0, 19, 154, 1.000000, 0.064536, 1.477335, m3.1#m3.1, 57.056354
0, 0, 20, 150, 1.000000, 0.099296, 1.568538, m3.1#m3.1, 57.056354
0, 0, 20, 154, 1.000000, 0.024797, 1.487190, m3.1#m3.1, 57.056354
0, 0, 21, 150, 0.999999, 0.047093, 1.562129, m3.1#m3.1, 57.056354
0, 0, 21, 154, 0.999999, 0.079301, 1.496224, m3.1#m3.1, 57.056354
0, 0, 22, 150, 1.000000, 0.100076, 1.555452, m3.1#m3.1, 57.056354
0, 0, 22, 154, 0.999999, 0.026513, 1.505349, m3.1#m3.1, 57.056354
0, 0, 23, 150, 0.999999, 0.040420, 1.548363, m3.1#m3.1, 57.056354
0, 0, 23, 154, 0.999999, 0.085534, 1.514254, m3.1#m3.1, 57.056354
0, 0, 24, 150, 0.999999, 0.125170, 1.542912, m3.1#m3.1, 57.056354
0, 0, 25, 150, 1.000000, 0.124818, 1.542873, m3.1#m3.1, 57.056354
0, 0, 26, 150, 0.999999, 0.062970, 1.538116, m3.1#m3.1, 57.056354
0, 0, 26, 155, 1.000000, 0.063963, 1.451494, m3.1#m3.1, 57.056354
0, 0, 27, 150, 1.000000, 0.099828, 1.531282, m3.1#m3.1, 57.056354
0, 0, 27, 155, 0.999999, 0.026841, 1.463450, m3.1#m3.1, 57.056354
0, 0, 28, 150, 0.999999, 0.049325, 1.523464, m3.1#m3.1, 57.056354
0, 0, 28, 155, 0.999998, 0.077029, 1.474650, m3.1#m3.1, 57.056354
0, 0, 29, 150, 1.000000, 0.124520, 1.517706, m3.1#m3.1, 57.056354
0, 0, 30, 150, 1.000000, 0.034931, 1.515805, m3.1#m3.1, 57.056354
0, 0, 30, 151, 1.000000, 0.077806, 1.563454, m3.1#m3.1, 57.056354
0, 0, 30, 156, 1.000000, 0.012110, 1.419969, m3.1#m3.1, 57.056354
0, 0, 31, 151, 0.999999, 0.072931, 1.558548, m3.1#m3.1, 57.056354
0, 0, 31, 156, 0.999998, 0.053272, 1.434478, m3.1#m3.1, 57.056354
0, 0, 32, 151, 0.999999, 0.085921, 1.551183, m3.1#m3.1, 57.056354
0, 0, 32, 156, 0.999999, 0.040373, 1.447051, m3.1#m3.1, 57.056354
0, 0, 33, 151, 0.999999, 0.125370, 1.547931, m3.1#m3.1, 57.056354
0, 0, 34, 151, 0.999999, 0.125451, 1.547872, m3.1#m3.1, 57.056354
0, 0, 35, 151, 0.999999, 0.050596, 1.540575, m3.1#m3.1, 57.056354
0, 0, 35, 157, 0.999999, 0.078195, 1.430177, m3.1#m3.1, 57.056354
0, 0, 36, 151, 0.999999, 0.125214, 1.533159, m3.1#m3.1, 57.056354
0, 0, 36, 157, 1.000000, 0.000539, 1.446605, m3.1#m3.1, 57.056354
0, 0, 37, 151, 1.000000, 0.125427, 1.533101, m3.1#m3.1, 57.056354
0, 0, 38, 151, 1.000000, 0.062378, 1.525850, m3.1#m3.1, 57.056354
0, 0, 38, 158, 0.999999, 0.067300, 1.428954, m3.1#m3.1, 57.056354
0, 0, 39, 151, 0.999999, 0.125258, 1.518730, m3.1#m3.1, 57.056354
0, 0, 40, 151, 0.999999, 0.078749, 1.512738, m3.1#m3.1, 57.056354
0, 0, 40, 159, 0.999999, 0.052156, 1.416494, m3.1#m3.1, 57.056354
0, 0, 41, 151, 1.000000, 0.124436, 1.506407, m3.1#m3.1, 57.056354
0, 0, 42, 151, 1.000000, 0.073346, 1.498817, m3.1#m3.1, 57.056354
0, 0, 42, 160, 0.999999, 0.059246, 1.415834, m3.1#m3.1, 57.056354
0, 0, 43, 151, 0.999999, 0.126484, 1.490913, m3.1#m3.1, 57.056354
0, 0, 44, 151, 0.999993, 0.000000, 1.484027, m3.1#m3.1, 57.056354
0, 0, 44, 152, 0.999985, 0.084144, 1.556899, m3.1#m3.1, 57.056354
0, 0, 44, 161, 0.999999, 0.046114, 1.426346, m3.1#m3.1, 57.056354
0, 0, 45, 152, 0.999999, 0.096908, 1.545656, m3.1#m3.1, 57.056354
0, 0, 45, 162, 1.000000, 0.035295, 1.410024, m3.1#m3.1, 57.056354
0, 0, 46, 152, 0.999999, 0.103804, 1.535584, m3.1#m3.1, 57.056354
0, 0, 46, 163, 1.000000, 0.030550, 1.400902, m3.1#m3.1, 57.056354
0, 0, 47, 152, 1.000000, 0.106592, 1.525799, m3.1#m3.1, 57.056354
0, 0, 47, 163, 1.000000, 0.010639, 1.434977, m3.1#m3.1, 57.056354
0, 0, 47, 164, 1.000000, 0.015128, 1.401053, m3.1#m3.1, 57.056354
0, 0, 48, 152, 1.000000, 0.098791, 1.513909, m3.1#m3.1, 57.056354
0, 0, 48, 164, 0.999999, 0.037493, 1.436553, m3.1#m3.1, 57.056354
0, 0, 49, 152, 0.999999, 0.080050, 1.497248, m3.1#m3.1, 57.056354
0, 0, 49, 165, 1.000000, 0.021421, 1.437059, m3.1#m3.1, 57.056354
0, 0, 49, 166, 0.999998, 0.040571, 1.405508, m3.1#m3.1, 57.056354
0, 0, 50, 152, 0.999999, 0.132794, 1.483835, m3.1#m3.1, 57.056354
0, 0, 50, 167, 1.000000, 0.003548, 1.416121, m3.1#m3.1, 57.056354
0, 0, 51, 152, 0.999999, 0.052233, 1.462041, m3.1#m3.1, 57.056354
0, 0, 51, 168, 0.999999, 0.102951, 1.435098, m3.1#m3.1, 57.056354
0, 0, 52, 152, 1.000000, 0.118747, 1.432095, m3.1#m3.1, 57.056354
0, 0, 52, 169, 0.999999, 0.038817, 1.469689, m3.1#m3.1, 57.056354
0, 0, 53, 152, 0.999999, 0.072820, 1.402047, m3.1#m3.1, 57.056354
0, 0, 53, 169, 1.000000, 0.075855, 1.510031, m3.1#m3.1, 57.056354
0, 0, 53, 170, 1.000000, 0.014172, 1.505792, m3.1#m3.1, 57.056354
0, 0, 54, 152, 0.999999, 0.082434, 1.363881, m3.1#m3.1, 57.056354
0, 0, 54, 171, 1.000000, 0.089131, 1.537703, m3.1#m3.1, 57.056354
0, 0, 55, 153, 0.999999, 0.102271, 1.372159, m3.1#m3.1, 57.056354
0, 0, 55, 171, 0.999999, 0.015972, 1.578680, m3.1#m3.1, 57.056354
0, 0, 55, 172, 0.999999, 0.058360, 1.580122, m3.1#m3.1, 57.056354
0, 0, 56, 153, 0.999999, 0.065688, 1.331336, m3.1#m3.1, 57.056354
0, 0, 56, 170, 1.000000, 0.106948, 1.615005, m3.1#m3.1, 57.056354
0, 0, 57, 153, 0.999997, 0.157074, 1.306574, m3.1#m3.1, 57.056354
0, 0, 58, 153, 0.999998, 0.516222, 1.267333, m3.1#m3.1, 57.056354
0, 0, 58, 289, 0.999989, 0.356657, 0.535573, m3.1#m8.19, nan
0, 0, 59, 153, 0.999998, 0.191845, 1.219294, m3.1#m3.1, 57.056354
0, 0, 59, 168, 1.000000, 0.014644, 1.670666, m3.1#m3.1, 57.056354
0, 0, 59, 290, 0.999992, 0.170464, 0.426871, m3.1#m8.19, nan
0, 0, 60, 154, 0.999998, 0.444618, 1.323095, m3.1#m3.1, 57.056354
0, 0, 60, 165, 0.999999, 0.108956, 1.678490, m3.1#m3.1, 57.056354
0, 0, 60, 166, 0.999999, 0.091494, 1.689293, m3.1#m3.1, 57.056354
0, 0, 60, 167, 0.999995, 0.116933, 1.695719, m3.1#m3.1, 57.056354
0, 0, 60, 292, 0.999999, 0.101604, 0.383820, m3.1#m8.19, nan
0, 0, 60, 486, 0.999992, 0.703029, 0.718398, m3.1#m8.19, nan
0, 0, 61, 154, 1.000000, 0.027386, 1.357249, m3.1#m3.1, 57.056354
0, 0, 61, 155, 0.999998, 0.231117, 1.445946, m3.1#m3.1, 57.056354
0, 0, 61, 156, 1.000000, 0.164099, 1.509810, m3.1#m3.1, 57.056354
0, 0, 61, 157, 0.999998, 0.109165, 1.554671, m3.1#m3.1, 57.056354
0, 0, 61, 159, 1.000000, 0.069124, 1.618632, m3.1#m3.1, 57.056354
0, 0, 61, 160, 0.999987, 0.097639, 1.644128, m3.1#m3.1, 57.056354
0, 0, 61, 161, 1.000000, 0.101362, 1.666455, m3.1#m3.1, 57.056354
0, 0, 61, 162, 0.999999, 0.104729, 1.684840, m3.1#m3.1, 57.056354
0, 0, 61, 163, 0.999999, 0.095650, 1.700400, m3.1#m3.1, 57.056354
0, 0, 61, 164, 0.999999, 0.082743, 1.716830, m3.1#m3.1, 57.056354
0, 0, 61, 293, 1.000000, 0.094641, 0.394857, m3.1#m8.19, nan
0, 0, 61, 294, 0.999997, 0.161994, 0.419522, m3.1#m8.19, nan
0, 0, 61, 487, 0.999988, 0.351677, 0.677188, m3.1#m8.19, nan
0, 0, 62, 157, 1.000000, 0.021464, 1.517077, m3.1#m3.1, 57.056354
0, 0, 62, 158, 0.999981, 0.116887, 1.554169, m3.1#m3.1, 57.056354
0, 0, 62, 159, 1.000000, 0.043865, 1.585512, m3.1#m3.1, 57.056354
0, 0, 62, 295, 0.999978, 0.351368, 0.431179, m3.1#m8.19, nan
0, 0, 62, 488, 0.999994, 0.321441, 0.596444, m3.1#m8.19, nan
0, 0, 62, 489, 1.000000, 0.027586, 0.533731, m3.1#m8.19, nan
0, 0, 63, 297, 0.999998, 0.058312, 0.495914, m3.1#m8.19, nan
0, 0, 64, 297, 0.999997, 0.071549, 0.495497, m3.1#m8.19, nan
0, 0, 65, 298, 0.999999, 0.074391, 0.503080, m3.1#m8.19, nan
0, 0, 66, 298, 0.999999, 0.066099, 0.502641, m3.1#m8.19, nan
0, 0, 67, 299, 0.999999, 0.306541, 0.577769, m3.1#m8.19, nan
0, 0, 67, 609, 0.999999, 0.180059, 1.355524, m3.1#m3.1, 57.056354
0, 0, 68, 299, 0.999998, 0.276767, 0.651575, m3.1#m8.19, nan
0, 0, 68, 609, 0.999997, 0.055229, 1.427912, m3.1#m3.1, 57.056354
0, 0, 68, 610, 0.999997, 0.323442, 1.339410, m3.1#m3.1, 57.056354
0, 0, 69, 610, 1.000000, 0.128674, 1.355953, m3.1#m3.1, 57.056354
0, 0, 70, 611, 0.999999, 0.124126, 1.265153, m3.1#m3.1, 57.056354
0, 0, 71, 497, 1.000000, 0.117060, 0.639606, m3.1#m8.19, nan
