# parent type: m3.1#m7.2
# parent ropelength: 88.240812
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 143, 0.999995, 0.007335, 1.468840, m7.2, 63.867259
0, 0, 0, 148, 0.999983, 0.115154, 1.534840, m7.2, 63.867259
0, 0, 1, 143, 0.999977, 0.069321, 1.454830, m7.2, 63.867259
0, 0, 1, 148, 0.999980, 0.060037, 1.540997, m7.2, 63.867259
0, 0, 2, 143, 0.999991, 0.008891, 1.441214, m7.2, 63.867259
0, 0, 2, 148, 0.999980, 0.113560, 1.547215, m7.2, 63.867259
0, 0, 3, 148, 0.999980, 0.127016, 1.547879, m7.2, 63.867259
0, 0, 4, 144, 0.999976, 0.004019, 1.482263, m7.2, 63.867259
0, 0, 4, 148, 0.999980, 0.118247, 1.548125, m7.2, 63.867259
0, 0, 5, 144, 0.999977, 0.085940, 1.471512, m7.2, 63.867259
0, 0, 5, 148, 0.999979, 0.042899, 1.554036, m7.2, 63.867259
0, 0, 6, 144, 0.999979, 0.007602, 1.461234, m7.2, 63.867259
0, 0, 6, 148, 0.999979, 0.115204, 1.560110, m7.2, 63.867259
0, 0, 7, 144, 0.999984, 0.051761, 1.449049, m7.2, 63.867259
0, 0, 7, 148, 0.999976, 0.076083, 1.563871, m7.2, 63.867259
0, 0, 8, 148, 0.999977, 0.122494, 1.567116, m7.2, 63.867259
0, 0, 9, 148, 0.999975, 0.126154, 1.567116, m7.2, 63.867259
0, 0, 10, 145, 0.999978, 0.013503, 1.509033, m7.2, 63.867259
0, 0, 10, 148, 0.999974, 0.109403, 1.568099, m7.2, 63.867259
0, 0, 11, 145, 0.999977, 0.062828, 1.499936, m7.2, 63.867259
0, 0, 11, 148, 0.999972, 0.064260, 1.572080, m7.2, 63.867259
0, 0, 12, 145, 0.999978, 0.075254, 1.494284, m7.2, 63.867259
0, 0, 12, 148, 0.999980, 0.047628, 1.579224, m7.2, 63.867259
0, 0, 13, 145, 0.999992, 0.017100, 1.487489, m7.2, 63.867259
0, 0, 13, 147, 0.999979, 0.078250, 1.588678, m7.2, 63.867259
0, 0, 13, 149, 0.999990, 0.029422, 1.493126, m7.2, 63.867259
0, 0, 14, 146, 0.999973, 0.007305, 1.576548, m7.2, 63.867259
0, 0, 14, 147, 0.999997, 0.033677, 1.585677, m7.2, 63.867259
0, 0, 14, 149, 0.999979, 0.082691, 1.497582, m7.2, 63.867259
0, 0, 15, 146, 0.999971, 0.091977, 1.570160, m7.2, 63.867259
0, 0, 15, 149, 0.999979, 0.032931, 1.503659, m7.2, 63.867259
0, 0, 16, 146, 0.999974, 0.073229, 1.565627, m7.2, 63.867259
0, 0, 16, 149, 0.999978, 0.052931, 1.511922, m7.2, 63.867259
0, 0, 17, 146, 0.999976, 0.115658, 1.562582, m7.2, 63.867259
0, 0, 17, 149, 0.999996, 0.008417, 1.521851, m7.2, 63.867259
0, 0, 18, 146, 0.999976, 0.125428, 1.562104, m7.2, 63.867259
0, 0, 19, 146, 0.999976, 0.087953, 1.559958, m7.2, 63.867259
0, 0, 19, 150, 0.999982, 0.036535, 1.457587, m7.2, 63.867259
0, 0, 20, 146, 0.999978, 0.094036, 1.555745, m7.2, 63.867259
0, 0, 20, 150, 0.999979, 0.032749, 1.468780, m7.2, 63.867259
0, 0, 21, 146, 0.999979, 0.066836, 1.550028, m7.2, 63.867259
0, 0, 21, 150, 0.999977, 0.058261, 1.478832, m7.2, 63.867259
0, 0, 22, 146, 0.999980, 0.083862, 1.543572, m7.2, 63.867259
0, 0, 22, 150, 0.999976, 0.043001, 1.488424, m7.2, 63.867259
0, 0, 23, 146, 0.999980, 0.123371, 1.540774, m7.2, 63.867259
0, 0, 24, 146, 0.999980, 0.126382, 1.540724, m7.2, 63.867259
0, 0, 24, 151, 0.999997, 0.000000, 1.446017, m7.2, 63.867259
0, 0, 25, 146, 0.999982, 0.056750, 1.535499, m7.2, 63.867259
0, 0, 25, 151, 0.999978, 0.068838, 1.459655, m7.2, 63.867259
0, 0, 26, 146, 0.999982, 0.101478, 1.528367, m7.2, 63.867259
0, 0, 26, 151, 0.999977, 0.024578, 1.471714, m7.2, 63.867259
0, 0, 27, 146, 0.999995, 0.077988, 1.526034, m7.2, 63.867259
0, 0, 27, 147, 0.999975, 0.045417, 1.587238, m7.2, 63.867259
0, 0, 28, 147, 0.999974, 0.091837, 1.585498, m7.2, 63.867259
0, 0, 28, 152, 0.999994, 0.035417, 1.440234, m7.2, 63.867259
0, 0, 29, 147, 0.999976, 0.069187, 1.578354, m7.2, 63.867259
0, 0, 29, 152, 0.999976, 0.057058, 1.452849, m7.2, 63.867259
0, 0, 30, 147, 0.999977, 0.125450, 1.573839, m7.2, 63.867259
0, 0, 30, 152, 0.999986, 0.000225, 1.468491, m7.2, 63.867259
0, 0, 31, 147, 0.999977, 0.125144, 1.573827, m7.2, 63.867259
0, 0, 32, 147, 0.999978, 0.053471, 1.566821, m7.2, 63.867259
0, 0, 32, 153, 0.999975, 0.075695, 1.447696, m7.2, 63.867259
0, 0, 33, 147, 0.999978, 0.122514, 1.559227, m7.2, 63.867259
0, 0, 33, 153, 0.999975, 0.003713, 1.464344, m7.2, 63.867259
0, 0, 34, 147, 0.999981, 0.099996, 1.556047, m7.2, 63.867259
0, 0, 34, 154, 0.999995, 0.027555, 1.435588, m7.2, 63.867259
0, 0, 35, 147, 0.999981, 0.093997, 1.549316, m7.2, 63.867259
0, 0, 35, 154, 0.999971, 0.033343, 1.456383, m7.2, 63.867259
0, 0, 36, 147, 0.999982, 0.125669, 1.545718, m7.2, 63.867259
0, 0, 36, 155, 0.999989, 0.000971, 1.432062, m7.2, 63.867259
0, 0, 37, 147, 0.999983, 0.043042, 1.534547, m7.2, 63.867259
0, 0, 37, 155, 0.999974, 0.090116, 1.452310, m7.2, 63.867259
0, 0, 38, 147, 0.999984, 0.127359, 1.523751, m7.2, 63.867259
0, 0, 38, 156, 0.999997, 0.000000, 1.428620, m7.2, 63.867259
0, 0, 39, 147, 0.999985, 0.096723, 1.518819, m7.2, 63.867259
0, 0, 39, 156, 0.999974, 0.034120, 1.457966, m7.2, 63.867259
0, 0, 40, 147, 0.999986, 0.061781, 1.504514, m7.2, 63.867259
0, 0, 40, 157, 0.999975, 0.072757, 1.433709, m7.2, 63.867259
0, 0, 41, 147, 0.999986, 0.129959, 1.493555, m7.2, 63.867259
0, 0, 41, 157, 1.000000, 0.000000, 1.461236, m7.2, 63.867259
0, 0, 42, 147, 0.999985, 0.069053, 1.482811, m7.2, 63.867259
0, 0, 42, 158, 0.999972, 0.064344, 1.454071, m7.2, 63.867259
0, 0, 43, 147, 0.999989, 0.100137, 1.467318, m7.2, 63.867259
0, 0, 43, 159, 0.999982, 0.036837, 1.439783, m7.2, 63.867259
0, 0, 44, 147, 0.999988, 0.075540, 1.450758, m7.2, 63.867259
0, 0, 44, 160, 0.999972, 0.062669, 1.431171, m7.2, 63.867259
0, 0, 45, 147, 0.999991, 0.100534, 1.432144, m7.2, 63.867259
0, 0, 45, 160, 0.999983, 0.002575, 1.461367, m7.2, 63.867259
0, 0, 45, 161, 0.999993, 0.038915, 1.426196, m7.2, 63.867259
0, 0, 46, 148, 0.999991, 0.088644, 1.481223, m7.2, 63.867259
0, 0, 46, 161, 0.999972, 0.002939, 1.460245, m7.2, 63.867259
0, 0, 46, 162, 0.999975, 0.047369, 1.424145, m7.2, 63.867259
0, 0, 47, 148, 0.999994, 0.099199, 1.460035, m7.2, 63.867259
0, 0, 47, 162, 0.999973, 0.001665, 1.460087, m7.2, 63.867259
0, 0, 47, 163, 0.999975, 0.045790, 1.426421, m7.2, 63.867259
0, 0, 48, 148, 0.999995, 0.097584, 1.438237, m7.2, 63.867259
0, 0, 48, 164, 0.999974, 0.049223, 1.433930, m7.2, 63.867259
0, 0, 49, 148, 0.999994, 0.101265, 1.414240, m7.2, 63.867259
0, 0, 49, 165, 0.999973, 0.053651, 1.447473, m7.2, 63.867259
0, 0, 50, 148, 0.999993, 0.094998, 1.386830, m7.2, 63.867259
0, 0, 50, 166, 0.999974, 0.035845, 1.463357, m7.2, 63.867259
0, 0, 50, 167, 0.999975, 0.029705, 1.434603, m7.2, 63.867259
0, 0, 51, 148, 0.999990, 0.116065, 1.353289, m7.2, 63.867259
0, 0, 51, 168, 0.999971, 0.053639, 1.457816, m7.2, 63.867259
0, 0, 51, 169, 0.999994, 0.030754, 1.435359, m7.2, 63.867259
0, 0, 52, 148, 0.999986, 0.627482, 1.318114, m7.2, 63.867259
0, 0, 52, 330, 0.999999, 0.245243, 0.259395, m12.79n, nan
0, 0, 53, 148, 0.999988, 0.269273, 1.267280, m7.2, 63.867259
0, 0, 53, 149, 0.999977, 0.267752, 1.367156, m7.2, 63.867259
0, 0, 53, 170, 0.999986, 0.092273, 1.509373, m7.2, 63.867259
0, 0, 53, 331, 0.999998, 0.223340, 0.221788, m12.79n, nan
0, 0, 53, 332, 0.999985, 0.290150, 0.119259, m12.79n, nan
0, 0, 54, 149, 0.999981, 0.181948, 1.319861, m7.2, 63.867259
0, 0, 54, 150, 0.999975, 0.170296, 1.395847, m7.2, 63.867259
0, 0, 54, 171, 0.999975, 0.013057, 1.548195, m7.2, 63.867259
0, 0, 54, 333, 0.999995, 0.276772, 0.078201, m12.79n, nan
0, 0, 54, 334, 0.999999, 0.049682, 0.009310, m12.77n, nan
0, 0, 55, 150, 0.999994, 0.011531, 1.341603, m7.2, 63.867259
0, 0, 55, 151, 0.999974, 0.165280, 1.401354, m7.2, 63.867259
0, 0, 55, 171, 0.999971, 0.074982, 1.570540, m7.2, 63.867259
0, 0, 55, 172, 0.999996, 0.037333, 1.570465, m7.2, 63.867259
0, 0, 55, 335, 0.999998, 0.237622, 0.022354, m12.77n, nan
0, 0, 56, 152, 0.999976, 0.120575, 1.398915, m7.2, 63.867259
0, 0, 56, 153, 0.999971, 0.099306, 1.440579, m7.2, 63.867259
0, 0, 56, 171, 0.999973, 0.017077, 1.597260, m7.2, 63.867259
0, 0, 56, 336, 0.999998, 0.126364, 0.019407, m12.77n, nan
0, 0, 57, 154, 0.999973, 0.116623, 1.436906, m7.2, 63.867259
0, 0, 57, 155, 0.999971, 0.075462, 1.471107, m7.2, 63.867259
0, 0, 57, 170, 0.999972, 0.036032, 1.613486, m7.2, 63.867259
0, 0, 57, 171, 0.999999, 0.002038, 1.622184, m7.2, 63.867259
0, 0, 57, 338, 0.999986, 0.128241, 0.082351, m12.77n, nan
0, 0, 58, 155, 0.999986, 0.000000, 1.431723, m7.2, 63.867259
0, 0, 58, 156, 0.999974, 0.120387, 1.463367, m7.2, 63.867259
0, 0, 58, 157, 0.999972, 0.081995, 1.489429, m7.2, 63.867259
0, 0, 58, 339, 0.999994, 0.117134, 0.070999, m12.77n, nan
0, 0, 59, 158, 0.999974, 0.088342, 1.466177, m7.2, 63.867259
0, 0, 59, 159, 0.999971, 0.110484, 1.489097, m7.2, 63.867259
0, 0, 59, 160, 0.999998, 0.011860, 1.510231, m7.2, 63.867259
0, 0, 59, 340, 0.999962, 0.162428, 0.049306, m12.77n, nan
0, 0, 60, 160, 0.999978, 0.061924, 1.488229, m7.2, 63.867259
0, 0, 60, 161, 0.999979, 0.101894, 1.510116, m7.2, 63.867259
0, 0, 60, 162, 0.999979, 0.090431, 1.527982, m7.2, 63.867259
0, 0, 60, 163, 0.999982, 0.022136, 1.544908, m7.2, 63.867259
0, 0, 60, 164, 0.999994, 0.000000, 1.560295, m7.2, 63.867259
0, 0, 60, 165, 0.999994, 0.000000, 1.575655, m7.2, 63.867259
0, 0, 60, 166, 0.999980, 0.036003, 1.588701, m7.2, 63.867259
0, 0, 60, 167, 0.999980, 0.103236, 1.598974, m7.2, 63.867259
0, 0, 60, 168, 0.999980, 0.076083, 1.610101, m7.2, 63.867259
0, 0, 60, 169, 0.999979, 0.093706, 1.621703, m7.2, 63.867259
0, 0, 60, 341, 0.999963, 0.101015, 0.047013, m12.79n, nan
0, 0, 60, 342, 0.999993, 0.229100, 0.119330, m12.79n, nan
0, 0, 60, 665, 0.999996, 0.057054, 1.459000, m7.2, 63.867259
0, 0, 60, 666, 0.999990, 0.120245, 1.458986, m7.2, 63.867259
0, 0, 60, 667, 0.999987, 0.124977, 1.457373, m7.2, 63.867259
0, 0, 60, 668, 0.999988, 0.082745, 1.434583, m7.2, 63.867259
0, 0, 61, 163, 0.999996, 0.075154, 1.553089, m7.2, 63.867259
0, 0, 61, 164, 0.999989, 0.087701, 1.569834, m7.2, 63.867259
0, 0, 61, 165, 0.999992, 0.083473, 1.586493, m7.2, 63.867259
0, 0, 61, 166, 1.000000, 0.059890, 1.600808, m7.2, 63.867259
0, 0, 61, 343, 0.999963, 0.312558, 0.225445, m12.79n, nan
0, 0, 61, 669, 0.999986, 0.096207, 1.382554, m7.2, 63.867259
0, 0, 61, 670, 0.999988, 0.114614, 1.350463, m7.2, 63.867259
0, 0, 61, 671, 0.999986, 0.087200, 1.312182, m7.2, 63.867259
0, 0, 61, 672, 0.999982, 0.132780, 1.272925, m7.2, 63.867259
0, 0, 62, 345, 0.999990, 0.016378, 0.279695, m12.79n, nan
0, 0, 62, 673, 0.999973, 0.062149, 1.272581, m7.2, 63.867259
0, 0, 62, 674, 0.999988, 0.137733, 1.218736, m7.2, 63.867259
0, 0, 63, 345, 0.999997, 0.182362, 0.212986, m12.79n, nan
0, 0, 63, 675, 0.999980, 0.103907, 1.224639, m7.2, 63.867259
0, 0, 64, 346, 0.999976, 0.173069, 0.203248, m12.79n, nan
0, 0, 64, 675, 0.999999, 0.027402, 1.264915, m7.2, 63.867259
0, 0, 64, 676, 0.999979, 0.091327, 1.200115, m7.2, 63.867259
0, 0, 65, 346, 0.999998, 0.061772, 0.122001, m12.79n, nan
