# parent type: m3.1#p7.4
# parent ropelength: 87.482005
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 530, 0.999996, 0.679049, 1.147129, p7.4, 64.285041
0, 0, 0, 568, 0.999996, 0.076732, 1.532354, p7.4, 64.285041
0, 0, 0, 569, 0.999998, 0.072878, 1.523620, p7.4, 64.285041
0, 0, 0, 570, 1.000000, 0.057765, 1.513009, p7.4, 64.285041
0, 0, 0, 571, 1.000000, 0.079087, 1.503113, p7.4, 64.285041
0, 0, 0, 572, 1.000000, 0.041777, 1.491877, p7.4, 64.285041
0, 0, 1, 531, 0.999996, 0.290627, 1.150756, p7.4, 64.285041
0, 0, 1, 532, 0.999995, 0.209676, 1.243964, p7.4, 64.285041
0, 0, 1, 533, 0.999999, 0.130071, 1.294596, p7.4, 64.285041
0, 0, 1, 573, 0.999995, 0.120213, 1.586145, p7.4, 64.285041
0, 0, 1, 574, 0.999997, 0.049329, 1.579078, p7.4, 64.285041
0, 0, 1, 575, 1.000000, 0.121041, 1.571560, p7.4, 64.285041
0, 0, 1, 576, 0.999999, 0.034308, 1.562974, p7.4, 64.285041
0, 0, 1, 577, 0.999998, 0.115286, 1.553548, p7.4, 64.285041
0, 0, 1, 578, 0.999999, 0.123832, 1.552090, p7.4, 64.285041
0, 0, 1, 579, 1.000000, 0.059557, 1.544932, p7.4, 64.285041
0, 0, 1, 580, 0.999999, 0.114372, 1.536504, p7.4, 64.285041
0, 0, 1, 581, 1.000000, 0.041945, 1.526468, p7.4, 64.285041
0, 0, 1, 582, 0.999998, 0.131981, 1.517657, p7.4, 64.285041
0, 0, 1, 583, 1.000000, 0.110419, 1.516434, p7.4, 64.285041
0, 0, 1, 584, 0.999999, 0.071057, 1.506973, p7.4, 64.285041
0, 0, 1, 585, 1.000000, 0.103736, 1.498049, p7.4, 64.285041
0, 0, 2, 534, 0.999999, 0.138233, 1.296088, p7.4, 64.285041
0, 0, 2, 535, 0.999999, 0.124999, 1.330839, p7.4, 64.285041
0, 0, 2, 536, 1.000000, 0.093653, 1.362095, p7.4, 64.285041
0, 0, 2, 537, 0.999998, 0.112631, 1.390500, p7.4, 64.285041
0, 0, 2, 538, 0.999998, 0.092189, 1.416427, p7.4, 64.285041
0, 0, 2, 539, 0.999997, 0.096412, 1.440906, p7.4, 64.285041
0, 0, 2, 540, 0.999997, 0.103046, 1.461391, p7.4, 64.285041
0, 0, 2, 541, 0.999996, 0.088499, 1.479974, p7.4, 64.285041
0, 0, 2, 542, 0.999996, 0.106942, 1.496517, p7.4, 64.285041
