# parent type: m7.2
# parent ropelength: 63.867259
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 204, 0.999976, 0.098832, 1.573557, a0.1, 6.283185
0, 0, 0, 205, 0.999974, 0.026027, 1.567691, a0.1, 6.283185
0, 0, 1, 204, 0.999975, 0.031676, 1.571796, a0.1, 6.283185
0, 0, 1, 205, 0.999973, 0.093130, 1.569761, a0.1, 6.283185
0, 0, 2, 204, 0.999974, 0.080477, 1.569752, a0.1, 6.283185
0, 0, 2, 205, 0.999972, 0.044375, 1.571556, a0.1, 6.283185
0, 0, 3, 204, 0.999975, 0.052883, 1.568038, a0.1, 6.283185
0, 0, 3, 205, 0.999972, 0.071892, 1.573675, a0.1, 6.283185
0, 0, 4, 204, 0.999975, 0.063220, 1.566072, a0.1, 6.283185
0, 0, 4, 205, 0.999973, 0.061583, 1.575518, a0.1, 6.283185
0, 0, 5, 204, 0.999975, 0.064242, 1.564298, a0.1, 6.283185
0, 0, 5, 205, 0.999973, 0.060470, 1.577516, a0.1, 6.283185
0, 0, 6, 204, 0.999976, 0.065272, 1.562581, a0.1, 6.283185
0, 0, 6, 205, 0.999975, 0.059493, 1.579518, a0.1, 6.283185
0, 0, 7, 204, 0.999977, 0.009790, 1.560106, a0.1, 6.283185
0, 0, 7, 205, 0.999975, 0.114835, 1.580696, a0.1, 6.283185
0, 0, 8, 204, 0.999982, 0.008383, 1.556858, a0.1, 6.283185
0, 0, 8, 205, 0.999976, 0.116282, 1.581020, a0.1, 6.283185
0, 0, 9, 204, 0.999992, 0.002175, 1.553604, a0.1, 6.283185
0, 0, 9, 205, 0.999977, 0.122392, 1.581243, a0.1, 6.283185
0, 0, 10, 203, 0.999994, 0.025559, 1.601534, a0.1, 6.283185
0, 0, 10, 205, 0.999978, 0.099229, 1.582058, a0.1, 6.283185
0, 0, 11, 203, 0.999997, 0.000609, 1.595297, a0.1, 6.283185
0, 0, 11, 205, 0.999980, 0.123995, 1.582859, a0.1, 6.283185
0, 0, 12, 205, 0.999981, 0.124658, 1.582940, a0.1, 6.283185
0, 0, 13, 205, 0.999983, 0.124584, 1.583003, a0.1, 6.283185
0, 0, 14, 205, 0.999984, 0.124716, 1.583062, a0.1, 6.283185
0, 0, 15, 202, 0.999999, 0.052840, 1.626338, a0.1, 6.283185
0, 0, 15, 205, 0.999986, 0.072177, 1.585180, a0.1, 6.283185
0, 0, 16, 202, 0.999997, 0.063102, 1.621139, a0.1, 6.283185
0, 0, 16, 205, 0.999987, 0.062097, 1.589776, a0.1, 6.283185
0, 0, 17, 205, 0.999989, 0.124563, 1.592318, a0.1, 6.283185
0, 0, 18, 205, 0.999991, 0.124653, 1.592365, a0.1, 6.283185
0, 0, 19, 205, 0.999992, 0.124332, 1.592410, a0.1, 6.283185
0, 0, 20, 201, 0.999996, 0.035715, 1.621066, a0.1, 6.283185
0, 0, 20, 205, 0.999988, 0.089629, 1.594385, a0.1, 6.283185
0, 0, 21, 205, 0.999995, 0.123985, 1.596342, a0.1, 6.283185
0, 0, 22, 200, 0.999999, 0.039100, 1.629808, a0.1, 6.283185
0, 0, 22, 205, 0.999996, 0.026251, 1.597924, a0.1, 6.283185
0, 0, 22, 206, 1.000000, 0.060527, 1.532595, a0.1, 6.283185
0, 0, 23, 199, 0.999999, 0.039046, 1.644681, a0.1, 6.283185
0, 0, 23, 200, 0.999997, 0.051537, 1.619859, a0.1, 6.283185
0, 0, 23, 207, 0.999995, 0.036997, 1.452292, a0.1, 6.283185
0, 0, 24, 199, 0.999998, 0.014001, 1.626879, a0.1, 6.283185
0, 0, 24, 207, 0.999995, 0.110932, 1.463442, a0.1, 6.283185
0, 0, 25, 198, 0.999995, 0.076564, 1.630082, a0.1, 6.283185
0, 0, 25, 207, 0.999994, 0.051398, 1.475052, a0.1, 6.283185
0, 0, 26, 197, 0.999999, 0.065416, 1.632680, a0.1, 6.283185
0, 0, 26, 208, 1.000000, 0.066907, 1.419834, a0.1, 6.283185
0, 0, 27, 197, 0.999998, 0.101220, 1.614900, a0.1, 6.283185
0, 0, 27, 208, 0.999990, 0.037286, 1.446943, a0.1, 6.283185
0, 0, 28, 197, 0.999996, 0.077069, 1.598492, a0.1, 6.283185
0, 0, 28, 209, 1.000000, 0.064318, 1.404143, a0.1, 6.283185
0, 0, 29, 197, 0.999998, 0.104745, 1.580216, a0.1, 6.283185
0, 0, 29, 209, 0.999999, 0.035228, 1.435396, a0.1, 6.283185
0, 0, 30, 196, 0.999999, 0.050058, 1.633071, a0.1, 6.283185
0, 0, 30, 197, 1.000000, 0.013001, 1.560461, a0.1, 6.283185
0, 0, 30, 210, 0.999999, 0.081970, 1.402323, a0.1, 6.283185
0, 0, 31, 196, 0.999999, 0.120755, 1.612952, a0.1, 6.283185
0, 0, 31, 210, 0.999998, 0.016009, 1.436284, a0.1, 6.283185
0, 0, 32, 196, 0.999999, 0.061081, 1.594063, a0.1, 6.283185
0, 0, 32, 211, 0.999999, 0.077399, 1.414236, a0.1, 6.283185
0, 0, 33, 197, 1.000000, 0.079641, 1.497440, a0.1, 6.283185
0, 0, 33, 198, 1.000000, 0.000767, 1.514793, a0.1, 6.283185
0, 0, 33, 212, 0.999999, 0.067473, 1.389986, a0.1, 6.283185
0, 0, 34, 198, 0.999997, 0.066380, 1.491974, a0.1, 6.283185
0, 0, 34, 199, 1.000000, 0.021655, 1.509819, a0.1, 6.283185
0, 0, 34, 213, 0.999999, 0.053882, 1.374108, a0.1, 6.283185
