# parent type: p10.55
# parent ropelength: 88.374839
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 310, 1.000000, 0.003405, 1.429867, p5.2, 49.482652
0, 0, 0, 311, 1.000000, 0.018218, 1.471342, p5.2, 49.482652
0, 0, 0, 328, 1.000000, 0.130192, 1.535265, p5.2, 49.482652
0, 0, 1, 311, 1.000000, 0.071802, 1.428198, p5.2, 49.482652
0, 0, 1, 312, 1.000000, 0.012568, 1.466358, p5.2, 49.482652
0, 0, 1, 328, 1.000000, 0.075723, 1.560571, p5.2, 49.482652
0, 0, 2, 312, 1.000000, 0.044712, 1.429464, p5.2, 49.482652
0, 0, 2, 328, 1.000000, 0.103252, 1.587262, p5.2, 49.482652
0, 0, 3, 313, 1.000000, 0.062696, 1.435658, p5.2, 49.482652
0, 0, 3, 328, 1.000000, 0.085448, 1.609435, p5.2, 49.482652
0, 0, 4, 314, 1.000000, 0.077697, 1.447751, p5.2, 49.482652
0, 0, 4, 328, 1.000000, 0.070238, 1.635213, p5.2, 49.482652
0, 0, 5, 328, 0.999999, 0.137319, 1.651026, p5.2, 49.482652
0, 0, 6, 315, 1.000000, 0.131759, 1.433296, p5.2, 49.482652
0, 0, 6, 328, 1.000000, 0.009913, 1.674430, p5.2, 49.482652
0, 0, 7, 315, 0.999993, 0.005440, 1.407979, p5.2, 49.482652
0, 0, 7, 328, 0.999999, 0.136748, 1.698763, p5.2, 49.482652
0, 0, 8, 315, 0.999993, 0.120998, 1.380726, p5.2, 49.482652
0, 0, 8, 328, 1.000000, 0.022250, 1.720336, p5.2, 49.482652
0, 0, 9, 315, 0.999994, 0.000000, 1.353932, p5.2, 49.482652
0, 0, 9, 327, 0.999996, 0.138568, 1.657144, p5.2, 49.482652
0, 0, 10, 316, 0.999994, 0.140147, 1.400195, p5.2, 49.482652
0, 0, 10, 327, 1.000000, 0.001398, 1.680884, p5.2, 49.482652
0, 0, 11, 316, 0.999995, 0.009027, 1.378018, p5.2, 49.482652
0, 0, 11, 327, 1.000000, 0.131518, 1.705872, p5.2, 49.482652
0, 0, 12, 316, 1.000000, 0.111255, 1.352751, p5.2, 49.482652
0, 0, 12, 327, 1.000000, 0.023957, 1.725552, p5.2, 49.482652
0, 0, 13, 316, 0.999999, 0.015718, 1.330576, p5.2, 49.482652
0, 0, 13, 327, 1.000000, 0.116953, 1.746136, p5.2, 49.482652
0, 0, 14, 316, 1.000000, 0.123742, 1.312630, p5.2, 49.482652
0, 0, 15, 317, 1.000000, 0.059164, 1.351495, p5.2, 49.482652
0, 0, 15, 326, 1.000000, 0.070065, 1.751165, p5.2, 49.482652
0, 0, 16, 317, 1.000000, 0.129996, 1.341821, p5.2, 49.482652
0, 0, 17, 317, 1.000000, 0.055203, 1.334087, p5.2, 49.482652
