# parent type: p3.1#a4.1
# parent ropelength: 65.256702
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 379, 1.000000, 0.115849, 1.607279, a4.1, 42.101754
0, 0, 1, 379, 1.000000, 0.084850, 1.603881, a4.1, 42.101754
0, 0, 1, 384, 1.000000, 0.040447, 1.413297, a4.1, 42.101754
0, 0, 2, 379, 1.000000, 0.062814, 1.595672, a4.1, 42.101754
0, 0, 2, 384, 1.000000, 0.055570, 1.426012, a4.1, 42.101754
0, 0, 3, 379, 0.999999, 0.124165, 1.590773, a4.1, 42.101754
0, 0, 4, 379, 0.999998, 0.116840, 1.590642, a4.1, 42.101754
0, 0, 5, 379, 1.000000, 0.074931, 1.585159, a4.1, 42.101754
0, 0, 5, 385, 1.000000, 0.053339, 1.413643, a4.1, 42.101754
0, 0, 6, 379, 0.999999, 0.096228, 1.577110, a4.1, 42.101754
0, 0, 6, 385, 0.999999, 0.023286, 1.431380, a4.1, 42.101754
0, 0, 7, 379, 0.999998, 0.125966, 1.574647, a4.1, 42.101754
0, 0, 8, 379, 0.999999, 0.063920, 1.567658, a4.1, 42.101754
0, 0, 8, 386, 0.999999, 0.058795, 1.416304, a4.1, 42.101754
0, 0, 9, 379, 1.000000, 0.127092, 1.560696, a4.1, 42.101754
0, 0, 10, 379, 0.999999, 0.067591, 1.553291, a4.1, 42.101754
0, 0, 10, 387, 1.000000, 0.057296, 1.409819, a4.1, 42.101754
0, 0, 11, 379, 0.999998, 0.128179, 1.545571, a4.1, 42.101754
0, 0, 12, 379, 0.999997, 0.068153, 1.536965, a4.1, 42.101754
0, 0, 12, 388, 1.000000, 0.058851, 1.415784, a4.1, 42.101754
0, 0, 13, 379, 0.999999, 0.116805, 1.526407, a4.1, 42.101754
0, 0, 13, 389, 1.000000, 0.015143, 1.399586, a4.1, 42.101754
0, 0, 14, 379, 0.999998, 0.090078, 1.517056, a4.1, 42.101754
0, 0, 14, 389, 1.000000, 0.039492, 1.431218, a4.1, 42.101754
0, 0, 15, 379, 0.999995, 0.100744, 1.505273, a4.1, 42.101754
0, 0, 15, 390, 0.999979, 0.035222, 1.419243, a4.1, 42.101754
0, 0, 16, 379, 0.999995, 0.078892, 1.490198, a4.1, 42.101754
0, 0, 16, 391, 1.000000, 0.055364, 1.409528, a4.1, 42.101754
0, 0, 17, 379, 0.999998, 0.110791, 1.475393, a4.1, 42.101754
0, 0, 17, 392, 1.000000, 0.026976, 1.405073, a4.1, 42.101754
0, 0, 18, 379, 0.999998, 0.083181, 1.459550, a4.1, 42.101754
0, 0, 18, 393, 1.000000, 0.056864, 1.405725, a4.1, 42.101754
0, 0, 19, 379, 0.999999, 0.116951, 1.442624, a4.1, 42.101754
0, 0, 19, 394, 0.999999, 0.025443, 1.411898, a4.1, 42.101754
0, 0, 20, 379, 0.999997, 0.082811, 1.423110, a4.1, 42.101754
0, 0, 20, 395, 1.000000, 0.063090, 1.422019, a4.1, 42.101754
0, 0, 21, 379, 0.999999, 0.107950, 1.400746, a4.1, 42.101754
0, 0, 21, 397, 0.999998, 0.048657, 1.399997, a4.1, 42.101754
0, 0, 22, 380, 1.000000, 0.112649, 1.440862, a4.1, 42.101754
0, 0, 22, 398, 0.999998, 0.046469, 1.424994, a4.1, 42.101754
0, 0, 22, 399, 1.000000, 0.000000, 1.396449, a4.1, 42.101754
0, 0, 23, 380, 0.999994, 0.108773, 1.412574, a4.1, 42.101754
0, 0, 23, 400, 1.000000, 0.068504, 1.423618, a4.1, 42.101754
0, 0, 24, 380, 0.999996, 0.113605, 1.378413, a4.1, 42.101754
0, 0, 24, 402, 0.999998, 0.061159, 1.431544, a4.1, 42.101754
0, 0, 24, 403, 0.999999, 0.011296, 1.410513, a4.1, 42.101754
0, 0, 25, 380, 0.999999, 0.131630, 1.339299, a4.1, 42.101754
0, 0, 25, 405, 0.999999, 0.086259, 1.427603, a4.1, 42.101754
0, 0, 26, 380, 1.000000, 0.162935, 1.290895, a4.1, 42.101754
0, 0, 26, 408, 0.999999, 0.054741, 1.440654, a4.1, 42.101754
0, 0, 26, 409, 1.000000, 0.051896, 1.427864, a4.1, 42.101754
0, 0, 27, 380, 0.999999, 0.211105, 1.232027, a4.1, 42.101754
0, 0, 27, 412, 0.999999, 0.050039, 1.458846, a4.1, 42.101754
0, 0, 27, 413, 1.000000, 0.004844, 1.444668, a4.1, 42.101754
0, 0, 27, 414, 0.999999, 0.084988, 1.433305, a4.1, 42.101754
0, 0, 28, 381, 1.000000, 0.201864, 1.256407, a4.1, 42.101754
0, 0, 28, 418, 1.000000, 0.084063, 1.475653, a4.1, 42.101754
0, 0, 28, 419, 1.000000, 0.028700, 1.466186, a4.1, 42.101754
0, 0, 28, 420, 1.000000, 0.079196, 1.457985, a4.1, 42.101754
0, 0, 28, 421, 1.000000, 0.023742, 1.452141, a4.1, 42.101754
0, 0, 29, 381, 0.999999, 0.768520, 1.164547, a4.1, 42.101754
0, 0, 29, 382, 0.999999, 0.125450, 1.259649, a4.1, 42.101754
0, 0, 29, 421, 1.000000, 0.046601, 1.550157, a4.1, 42.101754
0, 0, 29, 422, 1.000000, 0.080310, 1.543111, a4.1, 42.101754
0, 0, 29, 423, 1.000000, 0.079379, 1.536463, a4.1, 42.101754
0, 0, 29, 424, 1.000000, 0.052760, 1.527564, a4.1, 42.101754
0, 0, 29, 425, 1.000000, 0.093412, 1.519668, a4.1, 42.101754
0, 0, 29, 426, 1.000000, 0.122423, 1.517375, a4.1, 42.101754
0, 0, 29, 427, 0.999999, 0.084448, 1.513848, a4.1, 42.101754
0, 0, 29, 428, 1.000000, 0.084207, 1.506419, a4.1, 42.101754
0, 0, 30, 383, 1.000000, 0.233286, 1.251339, a4.1, 42.101754
0, 0, 30, 384, 0.999999, 0.155136, 1.302742, a4.1, 42.101754
0, 0, 30, 429, 1.000000, 0.033066, 1.579747, a4.1, 42.101754
0, 0, 30, 430, 1.000000, 0.075467, 1.567629, a4.1, 42.101754
0, 0, 30, 431, 0.999998, 0.123755, 1.563177, a4.1, 42.101754
0, 0, 30, 432, 0.999998, 0.103438, 1.560992, a4.1, 42.101754
0, 0, 30, 433, 0.999998, 0.047770, 1.550781, a4.1, 42.101754
0, 0, 30, 434, 0.999998, 0.125172, 1.542771, a4.1, 42.101754
0, 0, 30, 435, 0.999998, 0.087520, 1.538220, a4.1, 42.101754
0, 0, 30, 436, 1.000000, 0.063943, 1.526408, a4.1, 42.101754
0, 0, 30, 437, 0.999997, 0.126912, 1.519192, a4.1, 42.101754
0, 0, 30, 438, 0.999998, 0.056700, 1.510492, a4.1, 42.101754
0, 0, 30, 439, 0.999998, 0.000082, 1.499889, a4.1, 42.101754
0, 0, 31, 385, 0.999985, 0.130679, 1.309726, a4.1, 42.101754
0, 0, 31, 386, 0.999999, 0.114909, 1.342531, a4.1, 42.101754
0, 0, 31, 387, 0.999995, 0.109252, 1.371081, a4.1, 42.101754
0, 0, 31, 388, 0.999987, 0.092451, 1.397532, a4.1, 42.101754
0, 0, 31, 389, 0.999990, 0.098696, 1.422294, a4.1, 42.101754
0, 0, 31, 390, 0.999988, 0.103364, 1.442550, a4.1, 42.101754
0, 0, 31, 391, 0.999986, 0.091426, 1.461784, a4.1, 42.101754
0, 0, 31, 392, 0.999985, 0.104467, 1.478380, a4.1, 42.101754
0, 0, 31, 393, 0.999989, 0.084032, 1.494335, a4.1, 42.101754
0, 0, 31, 394, 0.999991, 0.101978, 1.508808, a4.1, 42.101754
0, 0, 31, 395, 0.999989, 0.074315, 1.522911, a4.1, 42.101754
0, 0, 31, 396, 0.999989, 0.124310, 1.534005, a4.1, 42.101754
0, 0, 31, 397, 0.999993, 0.082944, 1.541974, a4.1, 42.101754
0, 0, 31, 398, 0.999994, 0.078699, 1.554904, a4.1, 42.101754
0, 0, 31, 399, 0.999995, 0.030860, 1.561517, a4.1, 42.101754
0, 0, 31, 415, 1.000000, 0.019926, 1.611082, a4.1, 42.101754
0, 0, 31, 416, 1.000000, 0.122043, 1.608333, a4.1, 42.101754
0, 0, 31, 417, 1.000000, 0.020200, 1.605082, a4.1, 42.101754
0, 0, 31, 420, 1.000000, 0.041113, 1.605063, a4.1, 42.101754
0, 0, 31, 439, 1.000000, 0.122877, 1.539866, a4.1, 42.101754
0, 0, 31, 440, 0.999996, 0.077186, 1.532741, a4.1, 42.101754
0, 0, 31, 441, 0.999995, 0.103914, 1.522104, a4.1, 42.101754
0, 0, 31, 442, 0.999995, 0.085760, 1.512676, a4.1, 42.101754
0, 0, 31, 443, 0.999994, 0.124101, 1.504766, a4.1, 42.101754
0, 0, 31, 444, 0.999996, 0.067858, 1.493769, a4.1, 42.101754
0, 0, 31, 445, 0.999995, 0.109320, 1.479715, a4.1, 42.101754
0, 0, 31, 446, 0.999997, 0.120362, 1.472327, a4.1, 42.101754
0, 0, 31, 447, 0.999995, 0.066470, 1.456980, a4.1, 42.101754
0, 0, 31, 448, 0.999994, 0.114974, 1.441312, a4.1, 42.101754
0, 0, 31, 449, 0.999996, 0.088230, 1.426451, a4.1, 42.101754
0, 0, 31, 450, 0.999994, 0.107681, 1.408398, a4.1, 42.101754
0, 0, 32, 399, 1.000000, 0.092738, 1.493665, a4.1, 42.101754
0, 0, 32, 400, 0.999998, 0.057266, 1.502683, a4.1, 42.101754
0, 0, 32, 401, 0.999999, 0.122618, 1.511786, a4.1, 42.101754
0, 0, 32, 402, 0.999999, 0.063776, 1.518874, a4.1, 42.101754
0, 0, 32, 403, 0.999999, 0.111518, 1.527817, a4.1, 42.101754
0, 0, 32, 404, 0.999999, 0.121136, 1.529056, a4.1, 42.101754
0, 0, 32, 405, 0.999999, 0.037962, 1.538222, a4.1, 42.101754
0, 0, 32, 406, 0.999999, 0.121053, 1.547271, a4.1, 42.101754
0, 0, 32, 407, 0.999998, 0.119417, 1.547201, a4.1, 42.101754
0, 0, 32, 408, 0.999999, 0.068476, 1.552160, a4.1, 42.101754
0, 0, 32, 409, 0.999998, 0.069234, 1.561782, a4.1, 42.101754
0, 0, 32, 410, 0.999999, 0.121275, 1.566384, a4.1, 42.101754
0, 0, 32, 411, 0.999999, 0.117658, 1.566216, a4.1, 42.101754
0, 0, 32, 412, 0.999986, 0.073127, 1.569922, a4.1, 42.101754
0, 0, 32, 413, 1.000000, 0.112794, 1.574177, a4.1, 42.101754
0, 0, 32, 414, 1.000000, 0.037002, 1.580704, a4.1, 42.101754
0, 0, 32, 451, 0.999999, 0.103328, 1.457963, a4.1, 42.101754
0, 0, 32, 452, 1.000000, 0.100835, 1.433857, a4.1, 42.101754
