# parent type: p3.1#m3.1#a4.1
# parent ropelength: 87.932961
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 565, 0.999993, 0.016263, 1.502794, m3.1#a4.1, 65.255428
0, 0, 0, 567, 0.999966, 0.005254, 1.595449, m3.1#a4.1, 65.255428
0, 0, 0, 569, 0.999973, 0.082261, 1.498835, m3.1#a4.1, 65.255428
0, 0, 1, 566, 0.999990, 0.000781, 1.562957, m3.1#a4.1, 65.255428
0, 0, 1, 567, 0.999966, 0.098185, 1.593172, m3.1#a4.1, 65.255428
0, 0, 1, 569, 0.999975, 0.002698, 1.505011, m3.1#a4.1, 65.255428
0, 0, 2, 566, 0.999977, 0.035207, 1.561088, m3.1#a4.1, 65.255428
0, 0, 2, 567, 0.999975, 0.066237, 1.594305, m3.1#a4.1, 65.255428
0, 0, 3, 566, 0.999977, 0.095155, 1.560926, m3.1#a4.1, 65.255428
0, 0, 3, 567, 0.999997, 0.005139, 1.597035, m3.1#a4.1, 65.255428
0, 0, 4, 566, 0.999979, 0.095162, 1.561214, m3.1#a4.1, 65.255428
0, 0, 4, 570, 0.999993, 0.006342, 1.424555, m3.1#a4.1, 65.255428
0, 0, 5, 566, 0.999979, 0.082408, 1.560185, m3.1#a4.1, 65.255428
0, 0, 5, 570, 0.999974, 0.018618, 1.437500, m3.1#a4.1, 65.255428
0, 0, 6, 566, 0.999980, 0.049080, 1.555911, m3.1#a4.1, 65.255428
0, 0, 6, 570, 0.999972, 0.053825, 1.447601, m3.1#a4.1, 65.255428
0, 0, 7, 566, 0.999981, 0.074034, 1.550844, m3.1#a4.1, 65.255428
0, 0, 7, 570, 0.999971, 0.027600, 1.457207, m3.1#a4.1, 65.255428
0, 0, 8, 566, 0.999981, 0.043933, 1.545416, m3.1#a4.1, 65.255428
0, 0, 8, 570, 0.999970, 0.058901, 1.466689, m3.1#a4.1, 65.255428
