# parent type: p3.1#m3.1#m3.1
# parent ropelength: 79.574653
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 118, 1.000000, 0.009895, 1.525751, p3.1#m3.1, 57.087605
0, 0, 0, 119, 0.999996, 0.125253, 1.533992, p3.1#m3.1, 57.087605
0, 0, 0, 120, 0.999996, 0.125190, 1.534101, p3.1#m3.1, 57.087605
0, 0, 0, 121, 0.999995, 0.080838, 1.537533, p3.1#m3.1, 57.087605
0, 0, 0, 122, 0.999996, 0.070796, 1.545023, p3.1#m3.1, 57.087605
0, 0, 0, 123, 0.999995, 0.107100, 1.550685, p3.1#m3.1, 57.087605
0, 0, 0, 124, 0.999995, 0.124524, 1.552278, p3.1#m3.1, 57.087605
0, 0, 0, 125, 0.999995, 0.111175, 1.553090, p3.1#m3.1, 57.087605
0, 0, 0, 126, 0.999995, 0.060848, 1.558080, p3.1#m3.1, 57.087605
0, 0, 0, 127, 0.999994, 0.081369, 1.564908, p3.1#m3.1, 57.087605
0, 0, 0, 128, 0.999994, 0.115224, 1.568241, p3.1#m3.1, 57.087605
0, 0, 0, 129, 0.999993, 0.123981, 1.568990, p3.1#m3.1, 57.087605
0, 0, 0, 130, 0.999994, 0.124240, 1.569122, p3.1#m3.1, 57.087605
0, 0, 0, 131, 0.999993, 0.036902, 1.573589, p3.1#m3.1, 57.087605
0, 0, 0, 167, 0.999998, 0.111629, 1.432881, p3.1#m3.1, 57.087605
0, 0, 0, 168, 0.999999, 0.125641, 1.400150, p3.1#m3.1, 57.087605
0, 0, 0, 169, 0.999999, 0.150270, 1.358696, p3.1#m3.1, 57.087605
0, 0, 0, 170, 0.999998, 0.164291, 1.305069, p3.1#m3.1, 57.087605
0, 0, 0, 171, 0.999995, 0.603140, 1.223608, p3.1#m3.1, 57.087605
0, 0, 0, 172, 0.999999, 0.063349, 1.121992, p3.1#m3.1, 57.087605
0, 0, 1, 133, 1.000000, 0.062204, 1.496179, p3.1#m3.1, 57.087605
0, 0, 1, 134, 0.999996, 0.050241, 1.503149, p3.1#m3.1, 57.087605
0, 0, 1, 135, 0.999995, 0.070353, 1.508475, p3.1#m3.1, 57.087605
0, 0, 1, 172, 0.999995, 0.550384, 1.227622, p3.1#m3.1, 57.087605
0, 0, 2, 139, 1.000000, 0.050891, 1.451339, p3.1#m3.1, 57.087605
0, 0, 2, 140, 0.999995, 0.008524, 1.463159, p3.1#m3.1, 57.087605
0, 0, 2, 141, 0.999993, 0.085978, 1.473104, p3.1#m3.1, 57.087605
0, 0, 2, 142, 0.999996, 0.000006, 1.483873, p3.1#m3.1, 57.087605
0, 0, 2, 172, 0.999998, 0.179135, 1.305112, p3.1#m3.1, 57.087605
0, 0, 3, 145, 0.999994, 0.081199, 1.453559, p3.1#m3.1, 57.087605
0, 0, 3, 146, 0.999994, 0.005682, 1.466617, p3.1#m3.1, 57.087605
0, 0, 3, 173, 0.999997, 0.150888, 1.303868, p3.1#m3.1, 57.087605
0, 0, 4, 148, 0.999995, 0.045747, 1.438192, p3.1#m3.1, 57.087605
0, 0, 4, 149, 0.999994, 0.028531, 1.454591, p3.1#m3.1, 57.087605
0, 0, 4, 173, 0.999998, 0.119962, 1.343900, p3.1#m3.1, 57.087605
0, 0, 5, 151, 0.999993, 0.064713, 1.439014, p3.1#m3.1, 57.087605
