# parent type: p3.1#m7.6
# parent ropelength: 88.453061
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 553, 1.000000, 0.055979, 1.483596, m7.6, 65.708253
0, 0, 0, 563, 0.999999, 0.064665, 1.368834, m7.6, 65.708253
0, 0, 1, 554, 0.999999, 0.125628, 1.581316, m7.6, 65.708253
0, 0, 2, 554, 1.000000, 0.067968, 1.572088, m7.6, 65.708253
0, 0, 2, 564, 0.999999, 0.054869, 1.378007, m7.6, 65.708253
0, 0, 3, 554, 0.999999, 0.102922, 1.558207, m7.6, 65.708253
0, 0, 3, 565, 0.999999, 0.031772, 1.358879, m7.6, 65.708253
0, 0, 4, 554, 1.000000, 0.105126, 1.548885, m7.6, 65.708253
0, 0, 4, 565, 0.999999, 0.014241, 1.395719, m7.6, 65.708253
0, 0, 5, 554, 1.000000, 0.079564, 1.534894, m7.6, 65.708253
0, 0, 5, 566, 1.000000, 0.058511, 1.384959, m7.6, 65.708253
0, 0, 6, 554, 1.000000, 0.094266, 1.519061, m7.6, 65.708253
0, 0, 6, 567, 1.000000, 0.028746, 1.374947, m7.6, 65.708253
0, 0, 7, 554, 1.000000, 0.092414, 1.502924, m7.6, 65.708253
0, 0, 7, 568, 0.999999, 0.052275, 1.370264, m7.6, 65.708253
0, 0, 8, 554, 1.000000, 0.101821, 1.485291, m7.6, 65.708253
0, 0, 8, 569, 1.000000, 0.030727, 1.372957, m7.6, 65.708253
0, 0, 9, 554, 1.000000, 0.101100, 1.466321, m7.6, 65.708253
0, 0, 9, 570, 0.999999, 0.052166, 1.381446, m7.6, 65.708253
0, 0, 10, 554, 0.999998, 0.096547, 1.445134, m7.6, 65.708253
0, 0, 10, 571, 0.999999, 0.028139, 1.392766, m7.6, 65.708253
0, 0, 10, 572, 1.000000, 0.014930, 1.356106, m7.6, 65.708253
0, 0, 11, 554, 1.000000, 0.099744, 1.421824, m7.6, 65.708253
0, 0, 11, 573, 0.999999, 0.060249, 1.371836, m7.6, 65.708253
0, 0, 12, 554, 0.999998, 0.100933, 1.395890, m7.6, 65.708253
0, 0, 12, 575, 1.000000, 0.055214, 1.361296, m7.6, 65.708253
0, 0, 13, 554, 0.999998, 0.125590, 1.367798, m7.6, 65.708253
0, 0, 13, 577, 1.000000, 0.056019, 1.363043, m7.6, 65.708253
0, 0, 14, 554, 0.999998, 0.126962, 1.335910, m7.6, 65.708253
0, 0, 14, 579, 0.999999, 0.056875, 1.376712, m7.6, 65.708253
0, 0, 14, 580, 0.999999, 0.003509, 1.354786, m7.6, 65.708253
0, 0, 15, 554, 1.000000, 0.146496, 1.296475, m7.6, 65.708253
