# parent type: p3.1#p3.1#a4.1
# parent ropelength: 87.629217
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 559, 0.999990, 0.106867, 1.502327, p3.1#a4.1, 65.256702
0, 0, 0, 566, 0.999995, 0.020225, 1.403341, p3.1#a4.1, 65.256702
0, 0, 1, 559, 0.999990, 0.064547, 1.493857, p3.1#a4.1, 65.256702
0, 0, 1, 566, 0.999993, 0.061733, 1.420643, p3.1#a4.1, 65.256702
0, 0, 2, 559, 0.999999, 0.049678, 1.480542, p3.1#a4.1, 65.256702
0, 0, 2, 561, 1.000000, 0.012657, 1.621852, p3.1#a4.1, 65.256702
0, 0, 2, 566, 0.999991, 0.064947, 1.433435, p3.1#a4.1, 65.256702
0, 0, 3, 560, 0.999988, 0.055009, 1.553308, p3.1#a4.1, 65.256702
0, 0, 3, 561, 0.999993, 0.067621, 1.619382, p3.1#a4.1, 65.256702
0, 0, 4, 560, 0.999988, 0.111157, 1.550490, p3.1#a4.1, 65.256702
0, 0, 4, 567, 1.000000, 0.016168, 1.398327, p3.1#a4.1, 65.256702
0, 0, 5, 560, 0.999988, 0.066930, 1.542467, p3.1#a4.1, 65.256702
0, 0, 5, 567, 0.999991, 0.059324, 1.416821, p3.1#a4.1, 65.256702
0, 0, 6, 560, 0.999989, 0.126633, 1.536215, p3.1#a4.1, 65.256702
0, 0, 7, 560, 0.999989, 0.089936, 1.531920, p3.1#a4.1, 65.256702
0, 0, 7, 568, 0.999999, 0.036998, 1.392830, p3.1#a4.1, 65.256702
0, 0, 8, 560, 0.999987, 0.087782, 1.522333, p3.1#a4.1, 65.256702
0, 0, 8, 568, 0.999990, 0.042580, 1.413601, p3.1#a4.1, 65.256702
0, 0, 9, 560, 0.999983, 0.123253, 1.517316, p3.1#a4.1, 65.256702
0, 0, 10, 560, 0.999986, 0.068542, 1.508962, p3.1#a4.1, 65.256702
0, 0, 10, 569, 0.999990, 0.063453, 1.403108, p3.1#a4.1, 65.256702
0, 0, 11, 560, 1.000000, 0.002576, 1.499900, p3.1#a4.1, 65.256702
0, 0, 11, 561, 0.999984, 0.121725, 1.590317, p3.1#a4.1, 65.256702
0, 0, 12, 561, 0.999985, 0.071740, 1.581785, p3.1#a4.1, 65.256702
0, 0, 12, 570, 0.999989, 0.062132, 1.400418, p3.1#a4.1, 65.256702
0, 0, 13, 561, 0.999986, 0.125656, 1.573249, p3.1#a4.1, 65.256702
0, 0, 14, 561, 0.999991, 0.085386, 1.565475, p3.1#a4.1, 65.256702
0, 0, 14, 571, 0.999989, 0.048301, 1.409224, p3.1#a4.1, 65.256702
0, 0, 15, 561, 0.999994, 0.087186, 1.551802, p3.1#a4.1, 65.256702
0, 0, 15, 572, 0.999989, 0.045657, 1.389143, p3.1#a4.1, 65.256702
0, 0, 16, 561, 0.999990, 0.120541, 1.541727, p3.1#a4.1, 65.256702
0, 0, 16, 573, 0.999989, 0.014315, 1.380279, p3.1#a4.1, 65.256702
0, 0, 17, 561, 0.999995, 0.091702, 1.530204, p3.1#a4.1, 65.256702
0, 0, 17, 573, 0.999989, 0.045047, 1.416343, p3.1#a4.1, 65.256702
0, 0, 18, 561, 0.999995, 0.101542, 1.516061, p3.1#a4.1, 65.256702
0, 0, 18, 574, 0.999989, 0.035882, 1.411181, p3.1#a4.1, 65.256702
0, 0, 19, 561, 0.999996, 0.088976, 1.499715, p3.1#a4.1, 65.256702
0, 0, 19, 575, 0.999989, 0.050410, 1.407617, p3.1#a4.1, 65.256702
0, 0, 20, 561, 0.999995, 0.106013, 1.483122, p3.1#a4.1, 65.256702
0, 0, 20, 576, 0.999989, 0.034449, 1.409150, p3.1#a4.1, 65.256702
