# parent type: p3.1#p3.1#m3.1
# parent ropelength: 79.556577
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 117, 1.000000, 0.104345, 1.529110, p3.1#m3.1, 57.087605
0, 0, 0, 118, 0.999998, 0.125800, 1.530149, p3.1#m3.1, 57.087605
0, 0, 0, 119, 0.999993, 0.052730, 1.536161, p3.1#m3.1, 57.087605
0, 0, 0, 120, 0.999998, 0.124371, 1.542171, p3.1#m3.1, 57.087605
0, 0, 0, 121, 0.999995, 0.123868, 1.542195, p3.1#m3.1, 57.087605
0, 0, 0, 122, 1.000000, 0.056299, 1.546957, p3.1#m3.1, 57.087605
0, 0, 0, 123, 1.000000, 0.095697, 1.553654, p3.1#m3.1, 57.087605
0, 0, 0, 124, 0.999999, 0.067691, 1.559387, p3.1#m3.1, 57.087605
0, 0, 0, 125, 0.999999, 0.121438, 1.563210, p3.1#m3.1, 57.087605
0, 0, 0, 126, 1.000000, 0.120980, 1.563238, p3.1#m3.1, 57.087605
0, 0, 0, 127, 1.000000, 0.080336, 1.565623, p3.1#m3.1, 57.087605
0, 0, 0, 128, 1.000000, 0.060960, 1.571440, p3.1#m3.1, 57.087605
0, 0, 0, 129, 1.000000, 0.112250, 1.575351, p3.1#m3.1, 57.087605
0, 0, 0, 130, 1.000000, 0.023042, 1.577428, p3.1#m3.1, 57.087605
0, 0, 0, 167, 0.999999, 0.121386, 1.430295, p3.1#m3.1, 57.087605
0, 0, 0, 168, 1.000000, 0.134842, 1.393595, p3.1#m3.1, 57.087605
0, 0, 0, 169, 1.000000, 0.164494, 1.351457, p3.1#m3.1, 57.087605
0, 0, 0, 170, 0.999999, 0.144828, 1.295041, p3.1#m3.1, 57.087605
0, 0, 0, 171, 0.999999, 0.532003, 1.215008, p3.1#m3.1, 57.087605
0, 0, 1, 131, 0.999999, 0.034690, 1.495373, p3.1#m3.1, 57.087605
0, 0, 1, 132, 0.999999, 0.068814, 1.503306, p3.1#m3.1, 57.087605
0, 0, 1, 133, 0.999999, 0.042950, 1.510787, p3.1#m3.1, 57.087605
0, 0, 1, 134, 0.999999, 0.075885, 1.517851, p3.1#m3.1, 57.087605
0, 0, 1, 172, 1.000000, 0.660101, 1.213420, p3.1#m3.1, 57.087605
