# parent type: p3.1#p3.1#p3.1
# parent ropelength: 79.348406
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 152, 1.000000, 0.125669, 1.528377, p3.1#p3.1, 57.055724
0, 0, 1, 145, 0.999999, 0.070035, 1.435176, p3.1#p3.1, 57.055724
0, 0, 1, 152, 1.000000, 0.058836, 1.535632, p3.1#p3.1, 57.055724
0, 0, 2, 152, 1.000000, 0.125518, 1.543018, p3.1#p3.1, 57.055724
0, 0, 3, 146, 1.000000, 0.005563, 1.450459, p3.1#p3.1, 57.055724
0, 0, 3, 152, 1.000000, 0.120058, 1.543501, p3.1#p3.1, 57.055724
0, 0, 4, 146, 1.000000, 0.063471, 1.433466, p3.1#p3.1, 57.055724
0, 0, 4, 152, 1.000000, 0.063350, 1.549903, p3.1#p3.1, 57.055724
0, 0, 5, 152, 0.999999, 0.126085, 1.555624, p3.1#p3.1, 57.055724
0, 0, 6, 152, 1.000000, 0.124929, 1.555624, p3.1#p3.1, 57.055724
0, 0, 7, 147, 0.999999, 0.091339, 1.448289, p3.1#p3.1, 57.055724
0, 0, 7, 152, 1.000000, 0.003646, 1.562369, p3.1#p3.1, 57.055724
0, 0, 7, 153, 1.000000, 0.029263, 1.519757, p3.1#p3.1, 57.055724
0, 0, 8, 147, 1.000000, 0.016370, 1.435951, p3.1#p3.1, 57.055724
0, 0, 8, 153, 0.999999, 0.110342, 1.529184, p3.1#p3.1, 57.055724
0, 0, 9, 153, 0.999999, 0.125224, 1.530612, p3.1#p3.1, 57.055724
0, 0, 10, 148, 1.000000, 0.000425, 1.476590, p3.1#p3.1, 57.055724
0, 0, 10, 153, 0.999999, 0.123143, 1.530640, p3.1#p3.1, 57.055724
0, 0, 11, 148, 0.999999, 0.097257, 1.465155, p3.1#p3.1, 57.055724
0, 0, 11, 153, 0.999996, 0.030281, 1.537875, p3.1#p3.1, 57.055724
0, 0, 12, 148, 1.000000, 0.009977, 1.454552, p3.1#p3.1, 57.055724
0, 0, 12, 153, 0.999999, 0.115711, 1.545747, p3.1#p3.1, 57.055724
0, 0, 13, 148, 1.000000, 0.055069, 1.441158, p3.1#p3.1, 57.055724
0, 0, 13, 153, 1.000000, 0.071013, 1.550402, p3.1#p3.1, 57.055724
0, 0, 14, 153, 1.000000, 0.124824, 1.554305, p3.1#p3.1, 57.055724
0, 0, 15, 153, 1.000000, 0.124702, 1.554311, p3.1#p3.1, 57.055724
0, 0, 16, 149, 1.000000, 0.071257, 1.503251, p3.1#p3.1, 57.055724
0, 0, 16, 153, 1.000000, 0.054559, 1.558726, p3.1#p3.1, 57.055724
0, 0, 17, 149, 1.000000, 0.054815, 1.495497, p3.1#p3.1, 57.055724
0, 0, 17, 153, 1.000000, 0.071898, 1.566390, p3.1#p3.1, 57.055724
0, 0, 18, 149, 1.000000, 0.021297, 1.485022, p3.1#p3.1, 57.055724
0, 0, 18, 153, 1.000000, 0.104061, 1.571008, p3.1#p3.1, 57.055724
0, 0, 19, 149, 1.000000, 0.039707, 1.477103, p3.1#p3.1, 57.055724
0, 0, 19, 150, 1.000000, 0.068889, 1.575440, p3.1#p3.1, 57.055724
0, 0, 19, 154, 1.000000, 0.014080, 1.474679, p3.1#p3.1, 57.055724
0, 0, 20, 150, 1.000000, 0.059853, 1.570999, p3.1#p3.1, 57.055724
0, 0, 20, 154, 1.000000, 0.064150, 1.485246, p3.1#p3.1, 57.055724
0, 0, 21, 150, 1.000000, 0.075503, 1.563873, p3.1#p3.1, 57.055724
0, 0, 21, 154, 0.999999, 0.051683, 1.493605, p3.1#p3.1, 57.055724
0, 0, 22, 150, 1.000000, 0.087978, 1.558184, p3.1#p3.1, 57.055724
0, 0, 22, 154, 0.999999, 0.038296, 1.503779, p3.1#p3.1, 57.055724
0, 0, 23, 150, 1.000000, 0.038360, 1.550132, p3.1#p3.1, 57.055724
0, 0, 23, 154, 0.999999, 0.087874, 1.511778, p3.1#p3.1, 57.055724
0, 0, 24, 150, 1.000000, 0.125119, 1.544451, p3.1#p3.1, 57.055724
0, 0, 25, 150, 1.000000, 0.124786, 1.544397, p3.1#p3.1, 57.055724
0, 0, 26, 150, 1.000000, 0.069219, 1.540112, p3.1#p3.1, 57.055724
0, 0, 26, 155, 0.999997, 0.057468, 1.449140, p3.1#p3.1, 57.055724
0, 0, 27, 150, 1.000000, 0.100078, 1.533807, p3.1#p3.1, 57.055724
0, 0, 27, 155, 0.999999, 0.026716, 1.461641, p3.1#p3.1, 57.055724
0, 0, 28, 150, 1.000000, 0.039975, 1.525203, p3.1#p3.1, 57.055724
0, 0, 28, 155, 0.999999, 0.086989, 1.472122, p3.1#p3.1, 57.055724
0, 0, 29, 150, 0.999999, 0.124413, 1.518542, p3.1#p3.1, 57.055724
