# parent type: p3.1#p7.6
# parent ropelength: 88.569695
# strutstartcomponent, strutendcomponent, strutstartedge, strutendedge, strutlength, strutcompression, strutangle (radians), struttype, struttyperopelength
0, 0, 0, 567, 0.999997, 0.113660, 1.516015, p7.6, 65.709344
0, 0, 1, 574, 0.999999, 0.117818, 1.424662, p7.6, 65.709344
0, 0, 2, 568, 1.000000, 0.083471, 1.518842, p7.6, 65.709344
0, 0, 2, 574, 0.999991, 0.043541, 1.432833, p7.6, 65.709344
0, 0, 3, 570, 0.999993, 0.108656, 1.627389, p7.6, 65.709344
0, 0, 4, 570, 0.999994, 0.123369, 1.627513, p7.6, 65.709344
0, 0, 5, 570, 1.000000, 0.097136, 1.625689, p7.6, 65.709344
0, 0, 5, 575, 0.999998, 0.023755, 1.400941, p7.6, 65.709344
0, 0, 6, 569, 0.999999, 0.040249, 1.535369, p7.6, 65.709344
0, 0, 6, 570, 1.000000, 0.033359, 1.620579, p7.6, 65.709344
0, 0, 6, 575, 0.999999, 0.046697, 1.415409, p7.6, 65.709344
0, 0, 7, 569, 0.999999, 0.121111, 1.531083, p7.6, 65.709344
0, 0, 8, 569, 1.000000, 0.114154, 1.530340, p7.6, 65.709344
0, 0, 8, 576, 0.999999, 0.008316, 1.386851, p7.6, 65.709344
0, 0, 9, 569, 0.999998, 0.057435, 1.522816, p7.6, 65.709344
0, 0, 9, 576, 0.999998, 0.066272, 1.404854, p7.6, 65.709344
0, 0, 10, 569, 1.000000, 0.122531, 1.516383, p7.6, 65.709344
0, 0, 11, 570, 0.999998, 0.093612, 1.606894, p7.6, 65.709344
0, 0, 11, 577, 1.000000, 0.028966, 1.389730, p7.6, 65.709344
0, 0, 12, 570, 0.999999, 0.094515, 1.600205, p7.6, 65.709344
0, 0, 12, 577, 0.999991, 0.031120, 1.411350, p7.6, 65.709344
0, 0, 13, 570, 0.999995, 0.122750, 1.597089, p7.6, 65.709344
0, 0, 14, 570, 1.000000, 0.062272, 1.588828, p7.6, 65.709344
0, 0, 14, 578, 0.999995, 0.065347, 1.407793, p7.6, 65.709344
0, 0, 15, 570, 0.999999, 0.125817, 1.581034, p7.6, 65.709344
0, 0, 16, 570, 0.999999, 0.089466, 1.575095, p7.6, 65.709344
0, 0, 16, 579, 0.999993, 0.041671, 1.412371, p7.6, 65.709344
0, 0, 17, 570, 0.999991, 0.077879, 1.562601, p7.6, 65.709344
0, 0, 17, 580, 0.999991, 0.052156, 1.389491, p7.6, 65.709344
0, 0, 18, 570, 0.999997, 0.126298, 1.554362, p7.6, 65.709344
0, 0, 19, 570, 0.999994, 0.082799, 1.544989, p7.6, 65.709344
0, 0, 19, 581, 0.999988, 0.053969, 1.411995, p7.6, 65.709344
0, 0, 20, 570, 0.999997, 0.099733, 1.530824, p7.6, 65.709344
0, 0, 20, 582, 0.999990, 0.036205, 1.402270, p7.6, 65.709344
0, 0, 21, 570, 0.999996, 0.097916, 1.517486, p7.6, 65.709344
0, 0, 21, 583, 0.999990, 0.040409, 1.397137, p7.6, 65.709344
0, 0, 22, 570, 0.999998, 0.093633, 1.501718, p7.6, 65.709344
0, 0, 22, 584, 0.999990, 0.045330, 1.396641, p7.6, 65.709344
0, 0, 23, 570, 0.999997, 0.109384, 1.486413, p7.6, 65.709344
0, 0, 23, 585, 0.999990, 0.031060, 1.400912, p7.6, 65.709344
0, 0, 24, 570, 0.999994, 0.090847, 1.467475, p7.6, 65.709344
0, 0, 24, 586, 0.999990, 0.058081, 1.409771, p7.6, 65.709344
0, 0, 25, 570, 0.999996, 0.104449, 1.447075, p7.6, 65.709344
0, 0, 25, 587, 1.000000, 0.000847, 1.419314, p7.6, 65.709344
0, 0, 25, 588, 0.999991, 0.045130, 1.386497, p7.6, 65.709344
0, 0, 26, 570, 0.999999, 0.108662, 1.424567, p7.6, 65.709344
0, 0, 26, 589, 0.999992, 0.046969, 1.408278, p7.6, 65.709344
0, 0, 27, 570, 1.000000, 0.103646, 1.399043, p7.6, 65.709344
0, 0, 27, 591, 0.999992, 0.063396, 1.402817, p7.6, 65.709344
0, 0, 28, 571, 0.999999, 0.115858, 1.407508, p7.6, 65.709344
0, 0, 28, 593, 0.999992, 0.061093, 1.405698, p7.6, 65.709344
0, 0, 29, 571, 1.000000, 0.129025, 1.373012, p7.6, 65.709344
0, 0, 29, 595, 0.999994, 0.036387, 1.417856, p7.6, 65.709344
0, 0, 29, 596, 0.999995, 0.032276, 1.397425, p7.6, 65.709344
0, 0, 30, 571, 1.000000, 0.140734, 1.330956, p7.6, 65.709344
0, 0, 30, 598, 1.000000, 0.053571, 1.421013, p7.6, 65.709344
0, 0, 30, 599, 0.999999, 0.044420, 1.406929, p7.6, 65.709344
0, 0, 31, 571, 1.000000, 0.181682, 1.278030, p7.6, 65.709344
0, 0, 31, 601, 0.999994, 0.032201, 1.443508, p7.6, 65.709344
0, 0, 31, 602, 0.999995, 0.078366, 1.430242, p7.6, 65.709344
0, 0, 32, 571, 0.999994, 0.218795, 1.207563, p7.6, 65.709344
0, 0, 32, 605, 0.999994, 0.044888, 1.466459, p7.6, 65.709344
0, 0, 32, 606, 0.999994, 0.087903, 1.459830, p7.6, 65.709344
0, 0, 32, 607, 0.999995, 0.065039, 1.451209, p7.6, 65.709344
